ENTRY	Name	MeSH	OMIM	ICD-10	ICD-11	MedlinePlus	Alias_Name	Pathway	Gene_symbol	UniProtID	Drug_name	kegg_drugID	DrugBank	CAS	ChEBI	UniProt_count	Symbol_count	DrugBank_count
H00001	B-cell acute lymphoblastic leukemia	D054198	NO_DATA	C83.5;C91.0	2A70	NO_DATA	B-cell acute lymphocytic leukemia	NO_DATA	TEL-AML1;CRLF2;MLL-AF4;PAX5;BCR-ABL;E2A-PBX1;c-MYC	A0A024R8E2;P01106;P15923;Q02548;P00519;Q01196;Q9HC73;P51825;Q03164;A8K5V0;Q14C88;D0E2W4;P40424;Q59FK4;A1MJ41	Cyclophosphamide;Methotrexate;Mercaptopurine;Clofarabine;Vincristine sulfate;Teniposide;Doxorubicin hydrochloride;Daunorubicin hydrochloride;Mitoxantrone hydrochloride;Imatinib mesylate;Dasatinib;Ponatinib hydrochloride;Blinatumomab;Inotuzumab ozogamicin;Asparaginase;Pegaspargase;Tisagenlecleucel-T;Enocitabine;Calaspargase pegol	D00287;D00142;D00161;D03546;D02197;D02698;D01275;D01264;D02166;D01441;D06414;D09951;D09325;D08933;D02997;D05387;D11386;D01633;D10096	DB00531;DB00563;DB01033;DB00631;DB00541;DB00444;DB00694;DB01204;DB00619;DB00023;DB00059	6055-19-2;59-05-2;6112-76-1;123318-82-1;2068-78-2;29767-20-2;25316-40-9;23541-50-6;70476-82-3;220127-57-1;863127-77-9;1114544-31-8;853426-35-4;635715-01-4;9015-68-3;130167-69-0;1823078-37-0;55726-47-1;NA	4026;44185;31822;681569;79401;75988;31522;31456;50727;31690;70839;NA;NA;NA;NA;NA;NA;31537;NA	15.0	7.0	11.0
H00002	T-cell acute lymphoblastic leukemia	D054218	NO_DATA	C83.5;C91.0	2A71	NO_DATA	T-cell acute lymphocytic leukemia	NO_DATA	MYC;LYL1;PICALM-MLLT10;MLL-ENL;LMO2;TAL1;HOX11;NOTCH1;HOX11L2	P01106;Q16509;P55197;P12980;P25791;Q6N002;Q59EQ6;O43711;Q03164;P17542;P31314;P46531	Cyclophosphamide;Methotrexate;Mercaptopurine;Clofarabine;Nelarabine;Vincristine sulfate;Teniposide;Doxorubicin hydrochloride;Daunorubicin hydrochloride;Mitoxantrone hydrochloride;Asparaginase;Pegaspargase;Enocitabine;Calaspargase pegol	D00287;D00142;D00161;D03546;D05134;D02197;D02698;D01275;D01264;D02166;D02997;D05387;D01633;D10096	DB00531;DB00563;DB01033;DB00631;DB01280;DB00541;DB00444;DB00694;DB01204;DB00023;DB00059	6055-19-2;59-05-2;6112-76-1;123318-82-1;121032-29-9;2068-78-2;29767-20-2;25316-40-9;23541-50-6;70476-82-3;9015-68-3;130167-69-0;55726-47-1;NA	4026;44185;31822;681569;63612;79401;75988;31522;31456;50727;NA;NA;31537;NA	12.0	9.0	11.0
H00003	Acute myeloid leukemia	D015470	NO_DATA	C92.0	2A60	NO_DATA	NO_DATA	hsa05221  Acute myeloid leukemia	RUNX1;ITGAM;CHUK;NFKB1;SOS2;RELA;KIT;AKT3;TCF7L2;PIK3R3;SOS1;PIK3CA;MAPK1;PML-RARalpha;AML1;CEBPA;RPS6KB1;ARAF;JUP;MAPK3;LEF1;CCNA2;PIK3R1;PIM2;DUSP6;RUNX1T1;NRAS;MYC;PIK3CD;RARA;GRB2;IKBKB;PER2;FCGR1A;BRAF;c-KIT;CSF1R;MTOR;AKT1;SPI1;CCNA1;K-ras;FLT3;PLZF-RARalpha;MAP2K2;PML;PU.1;N-ras;PIK3CB;PIK3R2;PIM1;CCND1;STAT3;STAT5B;STAT5A;AML1-ETO;CEBPE;BAD;AKT2;PPARD;TCF7L1;HRAS;CD14;ZBTB16;RAF1;MAP2K1;BCL2A1;TCF7;C/EBPalpha;MPO;RPS6KB2;EIF4EBP1;CSF2;IL3;IKBKG;KRAS	A0A024RD25;P04049;P23443;A0A2X0SFG1;P17947;P10398;Q9UBS0;Q15744;Q06455;A0A024R562;Q13541;A0A0S2Z487;O00459;P10721;A8K6I5;P20248;Q6I9R7;P36402;P36888;Q6FI00;P42229;P12314;Q9NQB0;P29590;Q9Y6K9;A0A2K8FKV1;A0A024R178;Q03181;Q9P1W9;P27361;O15111;P42336;P42338;P42345;Q5U091;B3KQ75;Q659G9;Q8N381;O15055;P49715;Q16548;P36507;P28482;P08700;P04141;Q05516;L7RSL8;L7RXH5;A4QPA9;P31751;L7RRS6;P11309;P15056;A0A024RBC1;Q9HCS4;P40763;Q07889;O14920;Q02750;I1SRC5;B0LPF3;P78396;P05164;P11215;Q499G7;A0A024QYW7;P08571;P27986;Q04206;P31749;Q9Y243;A0A024RCW6;P14923;P19838;P07333;P01112;P01116;Q4LE51;Q07890;Q92934;P51692;Q59GY7;P01106;P62993;Q1HBJ4;P10276;P24385;Q16828;X5D945;B0LPE5;Q01196;A0A024R3C6;A0A384N5W4;O00329;P01111;Q92569;Q9UJU2	Cyclophosphamide;Thioguanine;Cytarabine;Doxorubicin hydrochloride;Daunorubicin hydrochloride;Idarubicin hydrochloride;Mitoxantrone hydrochloride;Midostaurin;Gilteritinib fumarate;Gemtuzumab ozogamicin;Glasdegib maleate;Arsenic trioxide;Venetoclax;Enasidenib mesylate;Ivosidenib;Daunorubicin and cytarabine;Sargramostim;Enocitabine	D00287;D06109;D00168;D01275;D01264;D01747;D02166;D05029;D10800;D03259;D11107;D02106;D10679;D11044;D11090;D11390;D05803;D01633	DB00531;DB00352;DB00987;DB00694;DB01177;DB01204;DB00056;DB01169;DB00020	6055-19-2;NA;147-94-4;25316-40-9;23541-50-6;57852-57-0;70476-82-3;120685-11-2;1254053-84-3;220578-59-6;NA;1327-53-3;1257044-40-8;1650550-25-6;1448347-49-6;NA;123774-72-1;55726-47-1	4026;NA;28680;31522;31456;31686;50727;63452;NA;NA;NA;30621;49900;133021;NA;145430;NA;NA;31537	97.0	76.0	9.0
H00004	Chronic myeloid leukemia	D015464	NO_DATA	C92.1	2A20.0	NO_DATA	NO_DATA	hsa05220  Chronic myeloid leukemia	GADD45B;CHUK;SHC4;AKT3;AML1;HDAC2;TGFBR1;TGFBR2;PIK3CD;SHC1;BCR;GADD45G;GADD45A;POLK;PIK3R2;CTBP2;TGFB3;SMAD3;PIK3R3;CRKL;BAX;CDKN1A;PIK3CA;PTPN11;SHC2;PIK3R1;GAB2;EVI1;MAP2K2;HDAC1;CCND1;STAT5A;p53;HRAS;DDB2;E2F1;SHC3;CDK6;BCL2L1;BCR-ABL;KRAS;CRK;RUNX1;RELA;MDM2;SOS1;ARAF;TGFB2;MYC;IKBKB;BRAF;AKT1;CTBP1;CDKN1B;PIK3CB;BAD;CBL;TGFB1;BAK1;IKBKG;ABL1;NFKB1;SOS2;MECOM;MAPK1;E2F3;MAPK3;NRAS;GRB2;TP53;p16/INK4A;RB1;STAT5B;AKT2;CDK4;RAF1;MAP2K1;CDKN2A;NFKBIA;SMAD4;E2F2	P04049;A0A2X0SFG1;P46109;P10398;Q13363;A0A0S2Z391;P61812;A0A024R562;A0A024RCX5;Q92529;P42771;O00459;A8K6I5;Q9UQC2;Q9UBT6;X5D8Y5;P11802;Q06124;Q9P0T0;Q6FI00;P42229;Q03112;Q6I9V6;Q9Y6K9;Q00534;Q00987;P04637;A0A2K8FKV1;P37173;A0A024R8E2;A0A024R178;A0A024RAP4;P27361;P01137;O95257;Q5T7S2;O15111;P42336;P42338;P46527;A0A499FJK2;A0A0S2Z3C5;Q5U091;P98077;P25963;Q8N381;P11274;P36507;P28482;Q13547;Q16611;L7RXH5;L7RSL8;A4QPA9;L7RT18;P31751;L7RRS6;P15056;Q13485;P84022;P36897;K7PML8;Q07889;O75293;O14920;Q02750;I1SRC5;B0LPF3;A3QNQ0;P00519;P38936;Q499G7;P56545;K7PPA8;P27986;Q04206;A0A024RBB6;P31749;Q6S5L8;Q9Y243;P46108;P29353;A0A024R274;Q59FK4;Q9BSD8;P19838;Q92769;Q01094;P01112;Q53GA5;P01116;Q4LE51;Q07890;P10600;Q92934;P51692;P22681;Q59GY7;P01106;Q92466;B4DXN7;P06400;A0A0S2Z3Q4;Q6IT96;P62993;Q1HBJ4;Q59EG9;P24385;A0A024R5Z3;Q14209;O00716;Q07812;X5D945;B0LPE5;Q01196;Q07817;A0A384N5W4;A5YM40;O00329;P01111;Q92569;P24522;A0A024RDV3	Busulfan;Thioguanine;Cytarabine;Imatinib mesylate;Dasatinib;Nilotinib hydrochloride hydrate;Bosutinib hydrate;Ponatinib hydrochloride;Hydroxyurea;Omacetaxine mepesuccinate;Sodium phosphate P 32	D00248;D06109;D00168;D01441;D06414;D06413;D09728;D09951;D00341;D08956;D05870	DB01008;DB00352;DB00987;DB00619;DB01005	55-98-1;NA;147-94-4;220127-57-1;863127-77-9;NA;NA;1114544-31-8;127-07-1;26833-87-4;7635-46-3	28901;NA;28680;31690;70839;NA;68533;NA;44423;71019;NA	123.0	81.0	5.0
H00005	Chronic lymphocytic leukemia	D015451	NO_DATA	C91.1	2A82.0	NO_DATA	NO_DATA	NO_DATA	Fas;ATM;Bcl-2;p53	Q13315;A0A024R2B3;P25445;P10415;K7PPA8;P04637;Q53GA5;A0A024R3C7	Cyclophosphamide;Chlorambucil;Bendamustine hydrochloride;Fludarabine phosphate;Ibrutinib;Acalabrutinib;Idelalisib;Duvelisib;Rituximab;Ofatumumab;Obinutuzumab;Venetoclax;Alemtuzumab;Sodium phosphate P 32;Ibritumomab tiuxetan;Rituximab and hyaluronidase	D00287;D00266;D07085;D01907;D10223;D10893;D10560;D10555;D02994;D09314;D09321;D10679;D02802;D05870;D04489;D11393	DB00531;DB00291;DB01073;DB00073;DB00087;DB00078	6055-19-2;305-03-3;3543-75-7;75607-67-9;936563-96-1;1420477-60-6;870281-82-6;1201438-56-3;174722-31-7;679818-59-8;949142-50-1;1257044-40-8;216503-57-0;7635-46-3;206181-63-7;NA	4026;28830;NA;63599;76612;167707;NA;NA;NA;NA;NA;133021;NA;NA;NA;NA	8.0	4.0	6.0
H00006	Hairy cell leukemia	D007943	NO_DATA	C91.4	2A82.2	NO_DATA	NO_DATA	NO_DATA	Bcl-6;p53;Cyclin D1	Q6FI00;P04637;P41182;K7PPA8;P24385;Q53GA5	Cladribine;Moxetumomab pasudotox;Pentostatin;Interferon alfa-2b	D01370;D09932;D00155;D02745	DB00242;DB00552;DB00105	4291-63-8;1020748-57-5;53910-25-1;99210-65-8	567361;NA;NA;NA	6.0	3.0	3.0
H00007	Hodgkin lymphoma	D006689	NO_DATA	C81	2B30	NO_DATA	NO_DATA	NO_DATA	CD95;c-rel;IKBE;IKBA	O00221;Q04864;Q7LC14;Q96F31;P25963;P25445;A0A024RD24	Cyclophosphamide;Chlorambucil;Carmustine;Lomustine;Dacarbazine;Vinblastine sulfate;Vincristine sulfate;Doxorubicin hydrochloride;Bleomycin sulfate;Procarbazine hydrochloride;Brentuximab vedotin;Nivolumab;Pembrolizumab	D00287;D00266;D00254;D00363;D00288;D01068;D02197;D01275;D02177;D00478;D09587;D10316;D10574	DB00531;DB00291;DB00262;DB01206;DB00851;DB00570;DB00541;DB00290;DB01168	6055-19-2;305-03-3;154-93-8;13010-47-4;4342-03-4;143-67-9;2068-78-2;25316-40-9;9041-93-4;366-70-1;914088-09-8;946414-94-4;1374853-91-4	4026;28830;3423;6520;4305;9984;79401;31522;34582;71428;NA;NA;NA	7.0	4.0	9.0
H00008	Burkitt lymphoma	D002051	NO_DATA	C83.7	2A85.6	NO_DATA	NO_DATA	NO_DATA	MYC-IgH;p16/INK4A;p53	P01106;K7PML8;P42771;K7PPA8;P04637;Q53GA5	Cyclophosphamide	D00287	DB00531	6055-19-2	4026	6.0	3.0	1.0
H00009	Adult T-cell leukemia	D015459	NO_DATA	C91.5	2A90.5	NO_DATA	NO_DATA	hsa05166  Human T-cell leukemia virus 1 infection	CHUK;TBP;CREB3;PRKACA;AKT3;HLA-DQB1;CANX;PTTG1;CREB3L1;MAD1L1;CREB3L4;SLC25A6;ELK4;TGFBR1;TLN2;CREB3L3;TGFBR2;HLA-E;GPS2;HLA-DRA;PIK3CD;HLA-DMB;ANAPC5;PRKACG;CD3E;CCND3;SMAD2;EGR2;NFATC1;IL1R2;PIK3R2;JAK1;IL2RB;POLB;MSX2;HLA-DPA1;CREB5;TERT;CDKN2B;HLA-DPB1;CCND2;TNF;ZFP36;RANBP3;ADCY4;MSX1;HLA-G;SRF;NRP1;HLA-F;TGFB3;CCNE1;CRTC1;TNFRSF13C;SMAD3;PIK3R3;HLA-DRB3;CDKN1A;BAX;PIK3CA;IL15RA;NFATC3;MAP2K4;CCNA2;PIK3R1;B2M;SLC25A5;MMP7;PTTG2;EGR1;FDPS;TLN1;MAP3K1;SLC25A4;DLG1;EP300;KAT2B;MAP2K2;BUB1B;LCK;ANAPC7;PTEN;CCND1;STAT5A;CDC20;p53;HRAS;E2F1;MAP3K14;VDAC2;NFATC2;ANAPC10;BCL2L1;CHEK2;HLA-DRB1;SLC25A31;CD40;KAT2A;CRTC2;CDKN2C;IL15;MAPK10;ATF6B;KRAS;HLA-DQA2;ANAPC11;BUB3;ELK1;ADCY3;ITGAL;MAD2L1;PPP3R2;RELA;CDC26;ATF4;CREBBP;ADCY1;CDC16;VAC14;PPP3CB;CRTC3;ADCY8;TGFB2;HLA-C;IL6;PPP3CC;MYC;IKBKB;CDK2;AKT1;FOS;RAN;LTA;CCNB2;JUN;PIK3CB;CDC23;CREB3L2;TGFB1;ANAPC4;TRRAP;TBPL2;XIAP;ANAPC1;Fas;IL1R1;VDAC3;CDC27;ATM;IKBKG;CD3D;NFKB1;CD3G;IL2RG;MAPK9;ADCY9;RELB;VDAC1;IL2;TNFRSF1A;ETS2;CREB1;MAPK1;ADCY7;NFYB;PRKACB;ATF2;PPP3R1;XPO1;E2F3;MAPK3;RANBP1;ANAPC2;KAT5;NRAS;ADCY5;ICAM1;ETS1;HLA-DOB;NFATC4;SPI1;HLA-DQA1;CCNA1;NFKB2;CALR;FOSL1;TSPO;IL2RA;TP53;ITGB2;p16/INK4A;ATR;RB1;HLA-DRB5;HLA-B;HLA-DMA;STAT5B;SLC2A1;AKT2;ADCY2;CCNE2;TBPL1;ESPL1;CDK4;HLA-DOA;CDKN2A;MAP2K1;HLA-DRB4;PPP3CA;HLA-A;ADCY6;CHEK1;TCF3;NFKBIA;LTBR;MAP3K3;SMAD4;CSF2;E2F2;JAK3;CD4;MAPK8	A0A2X0SFG1;P17947;Q99558;A0A286YF97;P61812;P42771;P15407;O00459;P22612;P28068;A0A024R1A7;A0A1V0E3P0;Q9H0C2;Q6FI00;Q92830;Q8TEY5;A0A2K8FKV1;Q4F7X0;P51828;X5D2U9;P53779;A0A024RDZ2;Q9NZH5;A0A384MEK5;P19438;P27361;P48454;Q00653;P42336;A0A1V0E3N7;Q9H6Z4;Q76NI6;B5B2S1;A0A024R7J0;P07766;A0A0S2Z4C6;A0A024R3C7;P04141;A0A1V0E3M7;Q15796;P11831;O43889;P05107;Q546S1;Q13485;P01375;P36897;P16298;Q08AM6;A0A1V0E3Q8;Q13535;Q70SY1;O43306;O95622;Q9UJX6;P42772;P63098;P04234;M0QY76;P27986;A0A1V0E3Q7;O96020;K7PPU3;P09693;P98170;P19838;A0A1V0E3T1;P20701;Q6FG41;Q96RJ3;P09237;Q9UJX2;Q6P669;P10600;Q5STV3;Q12959;A0A024R9B0;P05362;P06340;A0A1V0E3Q5;A0A1V0E3Q3;Q14209;O00716;Q08209;Q07812;X5D945;O96017;A0A384N5W4;Q92569;P20226;P17612;A0A1V0E3R0;P01903;P06239;Q6UUV9;A0A0G2JMH6;X5CF87;Q0GK43;A0A024RCX5;A0A1V0E3R8;Q59GX2;P52333;A0A1V0E3P8;P13762;P20248;Q8NHZ8;P42773;O95997;Q9P0T0;Q12968;Q5H8V1;A8K8M6;P04637;P37173;X5CKE2;B4DT49;A0A1V0E3Q1;P26651;Q01201;P31785;P40933;Q30154;A0A1V0E3S0;Q9Y490;A0A499FJK2;Q5QNS2;Q08828;A0A0S2Z3C7;Q96BA8;A0A024RBG7;A0A1V0E3N1;P01906;Q9Y4G6;P28482;P15036;P27930;L7RXH5;Q32MN7;A0A0K0K1K3;P31751;O14746;Q14934;P01589;B4DT73;A0A1V0E3Q2;A1L4K2;Q75MH2;P79483;P40145;P05231;B0YIY4;K7PML8;O14786;B0YIY5;P15923;I1SRC5;P27824;A0A2Z4LKS3;A0A0S2Z3H3;P30281;P20036;A3QNQ0;P27797;P35548;Q499G7;Q99759;A0A1V0E3N6;Q68D39;P01100;P62380;B4DVM1;A0A024QZT0;O14980;Q5STB3;A0A4Y5UGE4;Q13227;A0A024R274;P11166;Q5Y7D1;P01920;B7Z2C7;P01374;P18848;P01106;B4DXN7;Q92793;Q1HBJ4;P01730;Q92993;P01911;Q07817;P12236;P13765;Q8IXL1;O00329;Q5JZ47;Q4KMX6;P11161;O60566;B2RB89;P24941;B4DW78;A0A1V0E3R6;A0A1V0E3S6;Q9UM13;P25445;P13747;P11802;P42229;A0A1V0E3Q6;Q9Y6K9;Q6SJ96;A0A494C0X7;B3KTS5;O95644;P12235;P01137;Q9Y4A5;P45985;Q96LZ3;P10321;O60266;P45984;P45983;P25963;P36507;A0A1V0E3R4;A0A1V0E3P1;A0A1V0E3P9;Q68D60;L7RSL8;Q53ET0;P14921;A0A4E9D3W4;Q6UUV7;O14920;P04440;A0A024R985;P28360;P23458;Q02930;Q9H1A4;P78396;P62826;Q68DN3;Q13233;P43487;Q92831;K7PPA8;P14784;Q04206;A0A024RBB6;Q9Y243;V9HW88;Q9BSD8;A0A0S2Z595;Q6P2H9;P30511;Q7Z6C1;Q08462;Q53X93;A0A4D6G1L1;P05141;Q01094;P01112;Q31604;Q6ICR9;Q13469;Q4LE51;A0A1V0E3P2;Q6ICV4;P51692;Q5Y7D3;Q6I9V5;Q59GY7;A0A024RD16;P25942;Q99941;E5FQ95;P05412;Q59EG9;P24385;P25208;A0A024R5Z3;P24864;A0A1V0E3N3;Q86YI0;Q5SUL5;B0LPE5;A5YM40;Q6NVC0;Q13257;Q09472;Q9UJX5;Q6R739;I4EC15;A0A1V0E3Q4;A0A024R832;A8K6I5;Q13042;P01889;Q69YV3;P30279;P28324;Q9Y277;Q71UM8;A0A1V0E3P3;A0A024RB77;Q13261;P36941;Q13315;Q9UJX4;P14778;F6KD01;P45880;Q6IAL9;P14324;P17693;P30536;O43684;O14757;Q5T7S2;O15111;P60568;P42338;P21796;P61769;A0A0S2Z3C5;Q5U091;P15336;O95067;A0A1V0E3S7;Q12834;P22694;Q8N381;P19419;A0A1V0E3P6;Q9Y6D9;B2RAL6;A0A1V0E3S4;O19682;A0A173ADG5;A4QPA9;Q53XR6;Q59F20;A0A1V0E3R3;P84022;Q9UJX3;A0A0S2Z3Y8;Q6AWA9;B2RA75;Q02750;P06746;P01909;A0A024R7M7;O60503;Q6DU14;P38936;Q8NFM4;A0A024RBJ3;Q14674;Q6AZW6;P31749;A0A140VK94;P16220;B3KWD0;A0A384P5Q5;Q53GA5;P60484;P01116;P04439;Q68CJ9;O76068;P30260;P06400;A0A1L1UHR1;A0A024R597;Q8MH44;P18146;Q95HC2;Q8TEF4;Q9NYG5;P01111;A0A024RDV3	NO_DATA	NO_DATA	NO_DATA	NO_DATA	NO_DATA	384.0	222.0	0.0
H00010	Multiple myeloma	D009101	NO_DATA	C90.0	2A83.1	NO_DATA	NO_DATA	NO_DATA	IgH-FGFR3;K-ras;N-ras;CCND1-IgH;IgH-MMSET;c-MYC;CCND3-IgH;IgH-MAF;p53	Q6FI00;P01116;P01106;I1SRC5;P04637;L7RSL8;P22607;O75444;Q0IJ44;Q5U091;P24385;K7PPA8;P30281;P01111;O96028;Q53GA5	Cyclophosphamide;Melphalan;Melphalan hydrochloride;Carmustine;Doxorubicin hydrochloride;Elotuzumab;Daratumumab;Isatuximab;Belantamab mafodotin;Bortezomib;Carfilzomib;Ixazomib citrate;Panobinostat lactate;Selinexor;Plerixafor;Thalidomide;Lenalidomide;Pomalidomide;Zoledronic acid;Denosumab;Idecabtagene vicleucel;Melphalan flufenamide hydrochloride;Daratumumab and hyaluronidase	D00287;D00369;D08173;D00254;D01275;D09337;D10777;D11050;D11595;D03150;D08880;D10131;D10019;D11222;D08971;D00754;D04687;D08976;D01968;D03684;D11556;D11870;D11967	DB00531;DB01042;DB00262;DB00188;DB01041;DB00480;DB00399	6055-19-2;148-82-3;3223-07-2;154-93-8;25316-40-9;915296-00-3;945721-28-8;1461640-62-9;NA;179324-69-7;868540-17-4;1239908-20-3;NA;1393477-72-9;110078-46-1;50-35-1;191732-72-6;19171-19-8;165800-06-6;615258-40-7;NA;380449-54-7;NA	4026;28876;NA;3423;31522;NA;NA;NA;NA;52717;65347;90939;85991;NA;125354;9513;63791;72690;NA;NA;NA;NA;NA	16.0	9.0	7.0
