index	Keymolnet_disease	MeSH	OMIM	Gene_symbol	UniProtID	Drug_name	kegg_drugID	DrugBank	HMDB_ChEBI
KMN712	11beta-hydroxylase deficiency	D054882	613571	POR	P16435	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN711	11beta-hydroxysteroid dehydrogenase deficiency	C536447;C564221	604931;614662;615962	H6PD;HSD11B1;NR3C1	F1D8N4;O95479;P04150;P28845;X5D2L1	NO_DATA	NO_DATA	NO_DATA	17650;27584;29103
KMN308	17 alpha-Hydroxylase Deficiency	D054882	613571	POR	P16435	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN309	21-Hydroxylase Deficiency	D054882	613571	POR	P16435	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN375	3-Hydroxy-3-methylglutaric Aciduria	C535308;C535309;C535541;C537359;C537360;C537361;C538324;C562803;C565390;C566402;C566487;C579867;C580002	210200;210210;246450;250620;250950;251000;251100;251110;251120;258501;277380;277400;277410;302060;309541;610006;610198;611283;614105;614265;614739;614857;614923;616271;617248;617698	ABCD4;ACAD8;ACADSB;ACSF3;ALDH6A1;AUH;BCKDK;CLPB;DNAJC19;HCFC1;HIBCH;HMGCL;HTRA2;LMBRD1;MCCC1;MCCC2;MCEE;MMAA;MMAB;MMACHC;MMADHC;MMUT;MUT;OPA3;PRDX1;SERAC1;TAZ;TIMM50	A0A024QZA9;A0A024R0M6;A0A024R6B9;A0A024R6G4;A0A024RD82;A0A0S2Z3P9;A0A0S2Z4K0;A0A0S2Z5X1;A0A0S2Z693;A0A140VJL0;A0A140VK11;A0A140VK29;A0A384MDW9;A0A384NPQ2;B2R6K1;O14678;O14874;O43464;P22033;P35914;P45954;P51610;Q02252;Q06830;Q13825;Q16635;Q3ZCQ8;Q4G176;Q6NVY1;Q8IVH4;Q96DA6;Q96EY8;Q96JX3;Q96PE7;Q96RQ3;Q9H078;Q9H3L0;Q9H6K4;Q9HCC0;Q9NUN5;Q9UKU7;Q9Y4U1	NO_DATA	NO_DATA	NO_DATA	15428;15603;15684;15903;16134;16347;16414;16643;16737;16831;16958;17066;17191;17368;17485;17497;17650;17712;17775;17859;27389;28911;28976;30768;30794;30832;30860;32816;33404;37084;37127;37245;422;43433;48430;57589;68499;68566;70979;70984;741548;82956;85095;86366
KMN376	3-Methylcrotonyl Glycinuria	C535308;C535309;C535541;C537359;C537360;C537361;C538324;C562803;C565390;C566402;C566487;C579867;C580002	210200;210210;246450;250620;250950;251000;251100;251110;251120;258501;277380;277400;277410;302060;309541;610006;610198;611283;614105;614265;614739;614857;614923;616271;617248;617698	ABCD4;ACAD8;ACADSB;ACSF3;ALDH6A1;AUH;BCKDK;CLPB;DNAJC19;HCFC1;HIBCH;HMGCL;HTRA2;LMBRD1;MCCC1;MCCC2;MCEE;MMAA;MMAB;MMACHC;MMADHC;MMUT;MUT;OPA3;PRDX1;SERAC1;TAZ;TIMM50	A0A024QZA9;A0A024R0M6;A0A024R6B9;A0A024R6G4;A0A024RD82;A0A0S2Z3P9;A0A0S2Z4K0;A0A0S2Z5X1;A0A0S2Z693;A0A140VJL0;A0A140VK11;A0A140VK29;A0A384MDW9;A0A384NPQ2;B2R6K1;O14678;O14874;O43464;P22033;P35914;P45954;P51610;Q02252;Q06830;Q13825;Q16635;Q3ZCQ8;Q4G176;Q6NVY1;Q8IVH4;Q96DA6;Q96EY8;Q96JX3;Q96PE7;Q96RQ3;Q9H078;Q9H3L0;Q9H6K4;Q9HCC0;Q9NUN5;Q9UKU7;Q9Y4U1	NO_DATA	NO_DATA	NO_DATA	15428;15603;15684;15903;16134;16347;16414;16643;16737;16831;16958;17066;17191;17368;17485;17497;17650;17712;17775;17859;27389;28911;28976;30768;30794;30832;30860;32816;33404;37084;37127;37245;422;43433;48430;57589;68499;68566;70979;70984;741548;82956;85095;86366
KMN377	3-Methylglutaconic Aciduria Type I	C535308;C535309;C535541;C537359;C537360;C537361;C538324;C562803;C565390;C566402;C566487;C579867;C580002	210200;210210;246450;250620;250950;251000;251100;251110;251120;258501;277380;277400;277410;302060;309541;610006;610198;611283;614105;614265;614739;614857;614923;616271;617248;617698	ABCD4;ACAD8;ACADSB;ACSF3;ALDH6A1;AUH;BCKDK;CLPB;DNAJC19;HCFC1;HIBCH;HMGCL;HTRA2;LMBRD1;MCCC1;MCCC2;MCEE;MMAA;MMAB;MMACHC;MMADHC;MMUT;MUT;OPA3;PRDX1;SERAC1;TAZ;TIMM50	A0A024QZA9;A0A024R0M6;A0A024R6B9;A0A024R6G4;A0A024RD82;A0A0S2Z3P9;A0A0S2Z4K0;A0A0S2Z5X1;A0A0S2Z693;A0A140VJL0;A0A140VK11;A0A140VK29;A0A384MDW9;A0A384NPQ2;B2R6K1;O14678;O14874;O43464;P22033;P35914;P45954;P51610;Q02252;Q06830;Q13825;Q16635;Q3ZCQ8;Q4G176;Q6NVY1;Q8IVH4;Q96DA6;Q96EY8;Q96JX3;Q96PE7;Q96RQ3;Q9H078;Q9H3L0;Q9H6K4;Q9HCC0;Q9NUN5;Q9UKU7;Q9Y4U1	NO_DATA	NO_DATA	NO_DATA	15428;15603;15684;15903;16134;16347;16414;16643;16737;16831;16958;17066;17191;17368;17485;17497;17650;17712;17775;17859;27389;28911;28976;30768;30794;30832;30860;32816;33404;37084;37127;37245;422;43433;48430;57589;68499;68566;70979;70984;741548;82956;85095;86366
KMN374	3-Oxothiolase Deficiency	C535308;C535309;C535541;C537359;C537360;C537361;C538324;C562803;C565390;C566402;C566487;C579867;C580002	210200;210210;246450;250620;250950;251000;251100;251110;251120;258501;277380;277400;277410;302060;309541;610006;610198;611283;614105;614265;614739;614857;614923;616271;617248;617698	ABCD4;ACAD8;ACADSB;ACSF3;ALDH6A1;AUH;BCKDK;CLPB;DNAJC19;HCFC1;HIBCH;HMGCL;HTRA2;LMBRD1;MCCC1;MCCC2;MCEE;MMAA;MMAB;MMACHC;MMADHC;MMUT;MUT;OPA3;PRDX1;SERAC1;TAZ;TIMM50	A0A024QZA9;A0A024R0M6;A0A024R6B9;A0A024R6G4;A0A024RD82;A0A0S2Z3P9;A0A0S2Z4K0;A0A0S2Z5X1;A0A0S2Z693;A0A140VJL0;A0A140VK11;A0A140VK29;A0A384MDW9;A0A384NPQ2;B2R6K1;O14678;O14874;O43464;P22033;P35914;P45954;P51610;Q02252;Q06830;Q13825;Q16635;Q3ZCQ8;Q4G176;Q6NVY1;Q8IVH4;Q96DA6;Q96EY8;Q96JX3;Q96PE7;Q96RQ3;Q9H078;Q9H3L0;Q9H6K4;Q9HCC0;Q9NUN5;Q9UKU7;Q9Y4U1	NO_DATA	NO_DATA	NO_DATA	15428;15603;15684;15903;16134;16347;16414;16643;16737;16831;16958;17066;17191;17368;17485;17497;17650;17712;17775;17859;27389;28911;28976;30768;30794;30832;30860;32816;33404;37084;37127;37245;422;43433;48430;57589;68499;68566;70979;70984;741548;82956;85095;86366
KMN310	3 beta-Hydroxysteroid Dehydrogenase Type II Deficiency	D054882	613571	POR	P16435	NO_DATA	NO_DATA	NO_DATA	NO_DATA
KMN378	4-Hydroxybutyric Aciduria	C535306;C535322;C535407;C535598;C535702;C535803;C536405;C536832;C537622;C563210;C566618;C567192;D050937	248360;256520;260005;271980;300352;601815;606673;610015;612718;612736;613163;614023;615182;616038	ABAT;ALDH5A1;GAMT;GATM;GLUL;MLYCD;OPLAH;PHGDH;PSAT1;PSPH;SLC25A1;SLC6A8;UPB1	A0A024R1H3;A0A024R222;A0A024RDL3;A0A140VK19;A8YXX4;B3KNC1;O14841;O43175;O95822;P15104;P48029;P50440;P51649;P53007;P78330;P80404;Q14353;Q9UBR1;Q9Y617;V9HWB2;X5D8S1;X5D9C4;X5DQN2	NO_DATA	NO_DATA	NO_DATA	15428;15741;16134;16344;16737;16865;16919;16958;17084;17115;17775;17859;18050;18183;30794;30830;30832;30860;32796;32797;422;741548;85470;86371;89760;9300
