index	Keymolnet_disease	ICD10	KEGG_ENTRY	KEGG_Name
KMN712	11beta-hydroxylase deficiency	E25.0	H02315	Disordered steroidogenesis due to cytochrome P450 oxidoreductase
KMN711	11beta-hydroxysteroid dehydrogenase deficiency	E25.8;E26.1	H01111;H01702	Cortisone reductase deficiency;Glucocorticoid resistance syndrome
KMN308	17 alpha-Hydroxylase Deficiency	E25.0	H02315	Disordered steroidogenesis due to cytochrome P450 oxidoreductase
KMN309	21-Hydroxylase Deficiency	E25.0	H02315	Disordered steroidogenesis due to cytochrome P450 oxidoreductase
KMN375	3-Hydroxy-3-methylglutaric Aciduria	E71.1	H00174;H00179;H00181;H00375;H00654;H00754;H01279;H01349;H02109;H02136;H02221;H02222;H02285	Methylmalonic aciduria;3-Hydroxy-3-methylglutaryl-CoA lyase deficiency;3-Methylcrotonylglycinuria;SBCAD deficiency;Barth syndrome;3-Methylglutaconic aciduria;Isobutyryl-CoA dehydrogenase deficiency;Methacrylic aciduria;Combined malonic and methylmalonic aciduria;Branched-chain ketoacid dehydrogenase kinase deficiency;Methylmalonic aciduria and homocystinuria;Methylmalonic acidemia and hyperhomocysteinemia, cblX type;Methylmalonate semialdehyde dehydrogenase deficiency
KMN376	3-Methylcrotonyl Glycinuria	E71.1	H00174;H00179;H00181;H00375;H00654;H00754;H01279;H01349;H02109;H02136;H02221;H02222;H02285	Methylmalonic aciduria;3-Hydroxy-3-methylglutaryl-CoA lyase deficiency;3-Methylcrotonylglycinuria;SBCAD deficiency;Barth syndrome;3-Methylglutaconic aciduria;Isobutyryl-CoA dehydrogenase deficiency;Methacrylic aciduria;Combined malonic and methylmalonic aciduria;Branched-chain ketoacid dehydrogenase kinase deficiency;Methylmalonic aciduria and homocystinuria;Methylmalonic acidemia and hyperhomocysteinemia, cblX type;Methylmalonate semialdehyde dehydrogenase deficiency
KMN377	3-Methylglutaconic Aciduria Type I	E71.1	H00174;H00179;H00181;H00375;H00654;H00754;H01279;H01349;H02109;H02136;H02221;H02222;H02285	Methylmalonic aciduria;3-Hydroxy-3-methylglutaryl-CoA lyase deficiency;3-Methylcrotonylglycinuria;SBCAD deficiency;Barth syndrome;3-Methylglutaconic aciduria;Isobutyryl-CoA dehydrogenase deficiency;Methacrylic aciduria;Combined malonic and methylmalonic aciduria;Branched-chain ketoacid dehydrogenase kinase deficiency;Methylmalonic aciduria and homocystinuria;Methylmalonic acidemia and hyperhomocysteinemia, cblX type;Methylmalonate semialdehyde dehydrogenase deficiency
KMN374	3-Oxothiolase Deficiency	E71.1	H00174;H00179;H00181;H00375;H00654;H00754;H01279;H01349;H02109;H02136;H02221;H02222;H02285	Methylmalonic aciduria;3-Hydroxy-3-methylglutaryl-CoA lyase deficiency;3-Methylcrotonylglycinuria;SBCAD deficiency;Barth syndrome;3-Methylglutaconic aciduria;Isobutyryl-CoA dehydrogenase deficiency;Methacrylic aciduria;Combined malonic and methylmalonic aciduria;Branched-chain ketoacid dehydrogenase kinase deficiency;Methylmalonic aciduria and homocystinuria;Methylmalonic acidemia and hyperhomocysteinemia, cblX type;Methylmalonate semialdehyde dehydrogenase deficiency
KMN310	3 beta-Hydroxysteroid Dehydrogenase Type II Deficiency	E25.0	H02315	Disordered steroidogenesis due to cytochrome P450 oxidoreductase
KMN378	4-Hydroxybutyric Aciduria	E72.8	H00200;H00834;H00835;H00849;H00923;H01079;H01257;H01283;H02116;H02117;H02196;H02304;H02313	Beta-ureidopropionase deficiency;Guanidinoacetate methyltransferase deficiency;Succinic semialdehyde dehydrogenase deficiency;Cerebral creatine deficiency syndrome;Congenital systemic glutamine deficiency;3-Phosphoglycerate dehydrogenase (3-PGDH) deficiency;GABA-transaminase deficiency;Malonyl-CoA decarboxylase deficiency;Phosphoserine phosphatase deficiency;Neu-Laxova syndrome;X-linked creatine deficiency syndrome;Combined D-2- and L-2-hydroxyglutaric aciduria;5-Oxoprolinase deficiency
