Name	ICD-10	keymolnet_id	keymolnet_disease	KMN_ICD10	ICD10_check
Acute myeloid leukemia	C92.0	KMN105	acute myeloid leukemia	C94.2	False
Hairy cell leukemia	C91.4	KMN131	hairy cell leukemia	C91.4	True
Hodgkin lymphoma	C81	KMN99	hodgkin lymphoma	C81	True
Burkitt lymphoma	C83.7	KMN97	burkitt lymphoma	C83.7	True
Multiple myeloma	C90.0	KMN122	multiple myeloma	C90.0	True
Lymphoplasmacytic lymphoma	C83.8;C88.0	KMN102	lymphoplasmacytic lymphoma	C83.0	False
Polycythemia vera	D45	KMN165	polycythemia vera	D45	True
Small cell lung cancer	C34	KMN25	small cell lung cancer	C34.9	False
Non-small cell lung cancer	C34	KMN30	non-small cell lung cancer	C34.9	False
Esophageal cancer	C15	KMN19	esophageal cancer	C15	True
Gastric cancer	C16	KMN15	gastric cancer	C16.9	False
Pancreatic cancer	C25	KMN22	pancreatic cancer	C25	True
Colorectal cancer	C18;C19;C20	KMN20	colorectal cancer	C18	False
Renal cell carcinoma	C64	KMN60	renal cell carcinoma	C64	True
Bladder cancer	C67	KMN61	bladder cancer	C67	True
Prostate cancer	C61	KMN56	prostate cancer	C61	True
Endometrial cancer	C54	KMN50	endometrial cancer	C54.1	False
Ovarian cancer	C56	KMN53	ovarian cancer	C56	True
Choriocarcinoma	C58	KMN54	choriocarcinoma	C58	True
Breast cancer	C50	KMN47	breast cancer	C50	True
Adrenal carcinoma	C74	KMN77	adrenal carcinoma	C74.0	False
Ewing sarcoma	C41	KMN31	ewing sarcoma	C49.9	False
Osteosarcoma	C41	KMN32	osteosarcoma	C41.9	False
Rhabdomyosarcoma	C49	KMN39	rhabdomyosarcoma	C49.9	False
Melanoma	C43	KMN35	melanoma	C43	True
Basal cell carcinoma	C44	KMN34	basal cell carcinoma	C44.0	False
Kaposi sarcoma	C46	KMN38	kaposi sarcoma	C46	True
Glioma	C71	KMN65	glioma	C71.9	False
Neuroblastoma	C38;C47;C48;C72;C74;C76	KMN76	neuroblastoma	C74.9	False
Pancreatic neuroendocrine tumor	C25.4	KMN178	pancreatic neuroendocrine tumor	E16.8	False
Cholangiocarcinoma	C22	KMN21	cholangiocarcinoma	C22.1	False
Hepatocellular carcinoma	C22	KMN18	hepatocellular carcinoma	C22.0	False
Synovial sarcoma	C49	KMN40	synovial sarcoma	C49.9	False
Alveolar soft part sarcoma	C49	KMN45	alveolar soft part sarcoma	C49.9	False
Alzheimer disease	G30	KMN603	alzheimer disease	G30	True
Parkinson disease	G20	KMN595	parkinson disease	G20	True
Huntington disease	G10	KMN588	huntington disease	G10	True
Ataxia telangiectasia	G11.3	KMN593	ataxia telangiectasia	G11.3	True
Friedreich ataxia	G11.1	KMN589	friedreich ataxia	G11.1	True
Hereditary fructose intolerance	E74.1	KMN777	hereditary fructose intolerance	E74.12	False
Refsum disease	G60.1	KMN632	refsum disease	G60.1	True
Progressive supranuclear palsy	G23.1	KMN599	progressive supranuclear palsy	G23.1	True
Frontotemporal lobar degeneration	G31.0	KMN611	frontotemporal lobar degeneration	G31.0	True
Asthma	J45	KMN751	asthma	J45	True
Systemic lupus erythematosus	M32	KMN807	systemic lupus erythematosus	M32	True
Chronic granulomatous disease	D71	KMN245	chronic granulomatous disease	D71	True
Fabry disease	E75.2	KMN457	fabry disease	E75.2	True
Gaucher disease	E75.2	KMN380	gaucher disease	E75.22	False
Metachromatic leukodystrophy	E75.2	KMN504	metachromatic leukodystrophy	E75.25	False
Krabbe disease	E75.2	KMN414	krabbe disease	E75.2	True
alpha-Mannosidosis	E77.1	KMN395	alpha-mannosidosis	E77.1	True
beta-Mannosidosis	E77.1	KMN469	beta-mannosidosis	E77.1	True
Fucosidosis	E77.1	KMN463	fucosidosis	E77.1	True
Sialidosis	E77.1	KMN425	sialidosis	E77.1	True
Aspartylglucosaminuria	E77.1	KMN387	aspartylglucosaminuria	E77.1	True
Cerebrotendinous xanthomatosis	E75.5	KMN567	cerebrotendinous xanthomatosis	E75.5	True
Sitosterolemia	E78.5	KMN428	sitosterolemia	E78.0	False
Familial combined hyperlipidemia	E78.4	KMN517	familial combined hyperlipidemia	E78.4	True
