omim_id,accessions,chebi_id
102700,HMDB0000101;HMDB0001532;HMDB0011599,17256;16284;18083
102770,HMDB0000933,545687
103050,HMDB0000050;HMDB0000101;HMDB0000289;HMDB0000797;HMDB0000912;HMDB0240295,16335;17256;17775;18319;71169;nan
103900,HMDB0010345,88734
104300,HMDB0000001;HMDB0000008;HMDB0000011;HMDB0000033;HMDB0000034;HMDB0000043;HMDB0000045;HMDB0000050;HMDB0000056;HMDB0000064;HMDB0000072;HMDB0000073;HMDB0000086;HMDB0000089;HMDB0000094;HMDB0000095;HMDB0000097;HMDB0000099;HMDB0000107;HMDB0000112;HMDB0000121;HMDB0000122;HMDB0000123;HMDB0000124;HMDB0000126;HMDB0000132;HMDB0000134;HMDB0000148;HMDB0000156;HMDB0000157;HMDB0000158;HMDB0000159;HMDB0000161;HMDB0000162;HMDB0000167;HMDB0000168;HMDB0000172;HMDB0000177;HMDB0000181;HMDB0000182;HMDB0000187;HMDB0000190;HMDB0000191;HMDB0000192;HMDB0000193;HMDB0000194;HMDB0000202;HMDB0000211;HMDB0000214;HMDB0000243;HMDB0000247;HMDB0000254;HMDB0000263;HMDB0000271;HMDB0000288;HMDB0000450;HMDB0000452;HMDB0000464;HMDB0000479;HMDB0000508;HMDB0000517;HMDB0000547;HMDB0000562;HMDB0000574;HMDB0000608;HMDB0000609;HMDB0000618;HMDB0000641;HMDB0000657;HMDB0000687;HMDB0000692;HMDB0000721;HMDB0000725;HMDB0000742;HMDB0000765;HMDB0000807;HMDB0000883;HMDB0000895;HMDB0000898;HMDB0000904;HMDB0000929;HMDB0000939;HMDB0001032;HMDB0001068;HMDB0001247;HMDB0001257;HMDB0001302;HMDB0001333;HMDB0001336;HMDB0001372;HMDB0001401;HMDB0001414;HMDB0001419;HMDB0001473;HMDB0001548;HMDB0001565;HMDB0001586;HMDB0001851;HMDB0001897;HMDB0001960;HMDB0001989;HMDB0002032;HMDB0002044;HMDB0002103;HMDB0002175;HMDB0002196;HMDB0002387;HMDB0002457;HMDB0002503;HMDB0002666;HMDB0002712;HMDB0003337;HMDB0003339;HMDB0003625;HMDB0003638;HMDB0003642;HMDB0003869;HMDB0003933;HMDB0004142;HMDB0004362;HMDB0004628;HMDB0005949;HMDB0006284;HMDB0006695;HMDB0012935;HMDB0013724;HMDB0015532,50599;50613;17066;15727;16708;41139;16027;16335;16958;16919;32805;18243;16870;17562;30769;17361;15354;17482;16813;16865;27470;15903;15428;15946;15978;16235;18012;16015;30797;17368;17895;17295;16977;17203;16857;17196;17191;15971;15765;18019;17115;422;17053;16283;30887;18323;30860;17268;15729;32816;17924;15741;44897;15611;16695;18040;35619;29108;27596;15963;16467;18420;16737;17561;48828;49168;17363;18050;29036;15603;29033;70744;18095;17588;16899;17050;16414;15355;29009;16349;16828;16680;16814;133983;28984;16610;28685;29035;41941;9532;4170;17148;34310;16108;18189;18132;29042;18403;332416;32990;30517;52617;1177182;76591;30584;85545;30502;49786;49948;9533;16070;17858;15966;16793;48775;35104;88494;59951;37136;58968;46961;49713;48950;74767;4727;37117;29105
105400,HMDB0000232;HMDB0000667;HMDB0000742;HMDB0001220;HMDB0001333;HMDB0002243;HMDB0002878,16675;30662;17588;15551;29035;28747;17632
105800,HMDB0000068;HMDB0000216;HMDB0000538;HMDB0001201;HMDB0001273;HMDB0001341;HMDB0001403;HMDB0001419;HMDB0002103;HMDB0003378,28918;18357;15422;17552;15996;16761;15555;34310;76591;16480
107400,HMDB0000138,17687
109720,HMDB0000205;HMDB0000326;HMDB0000518;HMDB0000619;HMDB0000626;HMDB0000686;HMDB0000733;HMDB0000760;HMDB0000761;HMDB0000917;HMDB0000946;HMDB0002719;HMDB0005047,30851;89219;16755;16359;28834;43419;nan;nan;16325;81240;9907;17737;36025
114500,HMDB0000002;HMDB0000008;HMDB0000011;HMDB0000012;HMDB0000014;HMDB0000017;HMDB0000019;HMDB0000020;HMDB0000023;HMDB0000026;HMDB0000030;HMDB0000034;HMDB0000036;HMDB0000038;HMDB0000039;HMDB0000042;HMDB0000043;HMDB0000045;HMDB0000050;HMDB0000054;HMDB0000056;HMDB0000060;HMDB0000062;HMDB0000064;HMDB0000067;HMDB0000070;HMDB0000071;HMDB0000076;HMDB0000085;HMDB0000089;HMDB0000092;HMDB0000094;HMDB0000095;HMDB0000097;HMDB0000098;HMDB0000101;HMDB0000112;HMDB0000115;HMDB0000122;HMDB0000123;HMDB0000126;HMDB0000131;HMDB0000132;HMDB0000133;HMDB0000134;HMDB0000138;HMDB0000139;HMDB0000143;HMDB0000148;HMDB0000149;HMDB0000152;HMDB0000156;HMDB0000157;HMDB0000158;HMDB0000159;HMDB0000161;HMDB0000162;HMDB0000163;HMDB0000167;HMDB0000168;HMDB0000169;HMDB0000172;HMDB0000174;HMDB0000177;HMDB0000182;HMDB0000187;HMDB0000190;HMDB0000191;HMDB0000192;HMDB0000194;HMDB0000195;HMDB0000197;HMDB0000201;HMDB0000206;HMDB0000207;HMDB0000208;HMDB0000209;HMDB0000210;HMDB0000211;HMDB0000212;HMDB0000213;HMDB0000214;HMDB0000215;HMDB0000220;HMDB0000222;HMDB0000224;HMDB0000226;HMDB0000228;HMDB0000230;HMDB0000235;HMDB0000237;HMDB0000239;HMDB0000243;HMDB0000244;HMDB0000247;HMDB0000251;HMDB0000252;HMDB0000254;HMDB0000256;HMDB0000258;HMDB0000259;HMDB0000262;HMDB0000267;HMDB0000269;HMDB0000271;HMDB0000273;HMDB0000279;HMDB0000283;HMDB0000289;HMDB0000291;HMDB0000292;HMDB0000294;HMDB0000296;HMDB0000299;HMDB0000300;HMDB0000301;HMDB0000303;HMDB0000306;HMDB0000317;HMDB0000321;HMDB0000325;HMDB0000355;HMDB0000365;HMDB0000375;HMDB0000391;HMDB0000400;HMDB0000407;HMDB0000415;HMDB0000417;HMDB0000422;HMDB0000423;HMDB0000426;HMDB0000439;HMDB0000440;HMDB0000446;HMDB0000448;HMDB0000450;HMDB0000451;HMDB0000452;HMDB0000453;HMDB0000462;HMDB0000466;HMDB0000467;HMDB0000472;HMDB0000479;HMDB0000482;HMDB0000484;HMDB0000486;HMDB0000491;HMDB0000494;HMDB0000500;HMDB0000502;HMDB0000508;HMDB0000510;HMDB0000511;HMDB0000512;HMDB0000517;HMDB0000525;HMDB0000529;HMDB0000532;HMDB0000535;HMDB0000539;HMDB0000553;HMDB0000555;HMDB0000557;HMDB0000562;HMDB0000563;HMDB0000568;HMDB0000573;HMDB0000574;HMDB0000577;HMDB0000594;HMDB0000613;HMDB0000619;HMDB0000621;HMDB0000623;HMDB0000625;HMDB0000626;HMDB0000630;HMDB0000631;HMDB0000634;HMDB0000637;HMDB0000638;HMDB0000640;HMDB0000641;HMDB0000646;HMDB0000650;HMDB0000651;HMDB0000660;HMDB0000661;HMDB0000665;HMDB0000666;HMDB0000671;HMDB0000672;HMDB0000673;HMDB0000678;HMDB0000679;HMDB0000682;HMDB0000687;HMDB0000689;HMDB0000691;HMDB0000695;HMDB0000696;HMDB0000700;HMDB0000701;HMDB0000703;HMDB0000706;HMDB0000707;HMDB0000708;HMDB0000710;HMDB0000711;HMDB0000712;HMDB0000714;HMDB0000715;HMDB0000718;HMDB0000719;HMDB0000720;HMDB0000721;HMDB0000722;HMDB0000725;HMDB0000729;HMDB0000742;HMDB0000746;HMDB0000748;HMDB0000752;HMDB0000754;HMDB0000755;HMDB0000756;HMDB0000759;HMDB0000760;HMDB0000761;HMDB0000764;HMDB0000765;HMDB0000766;HMDB0000767;HMDB0000772;HMDB0000779;HMDB0000782;HMDB0000784;HMDB0000791;HMDB0000792;HMDB0000801;HMDB0000802;HMDB0000806;HMDB0000808;HMDB0000812;HMDB0000822;HMDB0000826;HMDB0000827;HMDB0000840;HMDB0000847;HMDB0000848;HMDB0000849;HMDB0000852;HMDB0000853;HMDB0000854;HMDB0000857;HMDB0000866;HMDB0000870;HMDB0000872;HMDB0000873;HMDB0000874;HMDB0000875;HMDB0000878;HMDB0000881;HMDB0000883;HMDB0000884;HMDB0000888;HMDB0000892;HMDB0000893;HMDB0000896;HMDB0000897;HMDB0000904;HMDB0000908;HMDB0000921;HMDB0000925;HMDB0000929;HMDB0000933;HMDB0000937;HMDB0000943;HMDB0000944;HMDB0000946;HMDB0000947;HMDB0000951;HMDB0000954;HMDB0000991;HMDB0001008;HMDB0001015;HMDB0001032;HMDB0001043;HMDB0001067;HMDB0001078;HMDB0001123;HMDB0001129;HMDB0001138;HMDB0001160;HMDB0001161;HMDB0001170;HMDB0001173;HMDB0001202;HMDB0001227;HMDB0001248;HMDB0001251;HMDB0001257;HMDB0001266;HMDB0001316;HMDB0001325;HMDB0001336;HMDB0001348;HMDB0001352;HMDB0001370;HMDB0001388;HMDB0001392;HMDB0001401;HMDB0001406;HMDB0001414;HMDB0001429;HMDB0001432;HMDB0001488;HMDB0001492;HMDB0001496;HMDB0001514;HMDB0001520;HMDB0001527;HMDB0001539;HMDB0001545;HMDB0001563;HMDB0001565;HMDB0001644;HMDB0001645;HMDB0001844;HMDB0001847;HMDB0001851;HMDB0001856;HMDB0001857;HMDB0001858;HMDB0001859;HMDB0001860;HMDB0001870;HMDB0001873;HMDB0001881;HMDB0001882;HMDB0001886;HMDB0001889;HMDB0001893;HMDB0001895;HMDB0001921;HMDB0001923;HMDB0001928;HMDB0001929;HMDB0001931;HMDB0001932;HMDB0001933;HMDB0001943;HMDB0001954;HMDB0001964;HMDB0001976;HMDB0001982;HMDB0001988;HMDB0001991;HMDB0001999;HMDB0002000;HMDB0002003;HMDB0002005;HMDB0002017;HMDB0002019;HMDB0002032;HMDB0002035;HMDB0002064;HMDB0002068;HMDB0002085;HMDB0002088;HMDB0002100;HMDB0002107;HMDB0002117;HMDB0002123;HMDB0002124;HMDB0002183;HMDB0002199;HMDB0002203;HMDB0002212;HMDB0002231;HMDB0002259;HMDB0002261;HMDB0002264;HMDB0002269;HMDB0002271;HMDB0002284;HMDB0002302;HMDB0002322;HMDB0002327;HMDB0002350;HMDB0002364;HMDB0002368;HMDB0002372;HMDB0002395;HMDB0002432;HMDB0002466;HMDB0002520;HMDB0002545;HMDB0002580;HMDB0002639;HMDB0002658;HMDB0002670;HMDB0002759;HMDB0002780;HMDB0002815;HMDB0002823;HMDB0002825;HMDB0002869;HMDB0002902;HMDB0002917;HMDB0002925;HMDB0002994;HMDB0003072;HMDB0003073;HMDB0003099;HMDB0003156;HMDB0003178;HMDB0003213;HMDB0003217;HMDB0003224;HMDB0003229;HMDB0003231;HMDB0003236;HMDB0003312;HMDB0003320;HMDB0003331;HMDB0003334;HMDB0003339;HMDB0003355;HMDB0003363;HMDB0003371;HMDB0003374;HMDB0003424;HMDB0003464;HMDB0003646;HMDB0003681;HMDB0003818;HMDB0003911;HMDB0004041;HMDB0004136;HMDB0004157;HMDB0004158;HMDB0004160;HMDB0004193;HMDB0004207;HMDB0004231;HMDB0004284;HMDB0004362;HMDB0004400;HMDB0004610;HMDB0004620;HMDB0004666;HMDB0004667;HMDB0004670;HMDB0004827;HMDB0004947;HMDB0004948;HMDB0004949;HMDB0004950;HMDB0004951;HMDB0004952;HMDB0004953;HMDB0004955;HMDB0004956;HMDB0004957;HMDB0005006;HMDB0005015;HMDB0005060;HMDB0005065;HMDB0005199;HMDB0005781;HMDB0005782;HMDB0005800;HMDB0005801;HMDB0005807;HMDB0005810;HMDB0006029;HMDB0006088;HMDB0006101;HMDB0006116;HMDB0006119;HMDB0006335;HMDB0006344;HMDB0006483;HMDB0006528;HMDB0006547;HMDB0006809;HMDB0006899;HMDB0010169;HMDB0010325;HMDB0010378;HMDB0010382;HMDB0010384;HMDB0010738;HMDB0011103;HMDB0011107;HMDB0011130;HMDB0011131;HMDB0011152;HMDB0011170;HMDB0011171;HMDB0011178;HMDB0011179;HMDB0011503;HMDB0011506;HMDB0011507;HMDB0011530;HMDB0011531;HMDB0011532;HMDB0011533;HMDB0011534;HMDB0011535;HMDB0011536;HMDB0011537;HMDB0011538;HMDB0011539;HMDB0011540;HMDB0011541;HMDB0011542;HMDB0011543;HMDB0011544;HMDB0011546;HMDB0011547;HMDB0011549;HMDB0011550;HMDB0011551;HMDB0011552;HMDB0011553;HMDB0011554;HMDB0011555;HMDB0011556;HMDB0011557;HMDB0011558;HMDB0011559;HMDB0011561;HMDB0011562;HMDB0011563;HMDB0011564;HMDB0011565;HMDB0011566;HMDB0011567;HMDB0011568;HMDB0011569;HMDB0011570;HMDB0011571;HMDB0011572;HMDB0011573;HMDB0011574;HMDB0011576;HMDB0011577;HMDB0011578;HMDB0011579;HMDB0011580;HMDB0011581;HMDB0011582;HMDB0011583;HMDB0011584;HMDB0011585;HMDB0011586;HMDB0011587;HMDB0011588;HMDB0011589;HMDB0011616;HMDB0011635;HMDB0011718;HMDB0011724;HMDB0011731;HMDB0011733;HMDB0011737;HMDB0011745;HMDB0011747;HMDB0011749;HMDB0011756;HMDB0011757;HMDB0012141;HMDB0012154;HMDB0012273;HMDB0012308;HMDB0013078;HMDB0013127;HMDB0013209;HMDB0013240;HMDB0013243;HMDB0013302;HMDB0013609;HMDB0013631;HMDB0013678;HMDB0013713;HMDB0013716;HMDB0014426;HMDB0014487;HMDB0015044;HMDB0015166;HMDB0028680;HMDB0028686;HMDB0028689;HMDB0028690;HMDB0028691;HMDB0028694;HMDB0028695;HMDB0028697;HMDB0028699;HMDB0028700;HMDB0028712;HMDB0028713;HMDB0028715;HMDB0028716;HMDB0028717;HMDB0028721;HMDB0028722;HMDB0028734;HMDB0028735;HMDB0028744;HMDB0028757;HMDB0028764;HMDB0028795;HMDB0028800;HMDB0028822;HMDB0028823;HMDB0028830;HMDB0028831;HMDB0028832;HMDB0028844;HMDB0028847;HMDB0028848;HMDB0028851;HMDB0028852;HMDB0028853;HMDB0028854;HMDB0028878;HMDB0028885;HMDB0028888;HMDB0028889;HMDB0028892;HMDB0028893;HMDB0028896;HMDB0028898;HMDB0028900;HMDB0028901;HMDB0028902;HMDB0028903;HMDB0028906;HMDB0028907;HMDB0028910;HMDB0028911;HMDB0028913;HMDB0028914;HMDB0028916;HMDB0028917;HMDB0028918;HMDB0028919;HMDB0028920;HMDB0028922;HMDB0028923;HMDB0028924;HMDB0028928;HMDB0028929;HMDB0028932;HMDB0028933;HMDB0028935;HMDB0028938;HMDB0028939;HMDB0028940;HMDB0028941;HMDB0028942;HMDB0028954;HMDB0028955;HMDB0028958;HMDB0028959;HMDB0028963;HMDB0028964;HMDB0028966;HMDB0028980;HMDB0028983;HMDB0028986;HMDB0028988;HMDB0028991;HMDB0028994;HMDB0028995;HMDB0028998;HMDB0029001;HMDB0029004;HMDB0029006;HMDB0029007;HMDB0029008;HMDB0029010;HMDB0029028;HMDB0029042;HMDB0029043;HMDB0029046;HMDB0029047;HMDB0029052;HMDB0029064;HMDB0029065;HMDB0029068;HMDB0029074;HMDB0029076;HMDB0029082;HMDB0029083;HMDB0029086;HMDB0029087;HMDB0029090;HMDB0029091;HMDB0029094;HMDB0029095;HMDB0029096;HMDB0029098;HMDB0029103;HMDB0029104;HMDB0029108;HMDB0029109;HMDB0029112;HMDB0029117;HMDB0029118;HMDB0029120;HMDB0029121;HMDB0029123;HMDB0029125;HMDB0029126;HMDB0029127;HMDB0029129;HMDB0029130;HMDB0029131;HMDB0029132;HMDB0029133;HMDB0029134;HMDB0029136;HMDB0029137;HMDB0029138;HMDB0029139;HMDB0029140;HMDB0029223;HMDB0029224;HMDB0029377;HMDB0029649;HMDB0029723;HMDB0029937;HMDB0029942;HMDB0030021;HMDB0030180;HMDB0030667;HMDB0030776;HMDB0031057;HMDB0031068;HMDB0031072;HMDB0031193;HMDB0031230;HMDB0031518;HMDB0031554;HMDB0031654;HMDB0032055;HMDB0032208;HMDB0032572;HMDB0032616;HMDB0032985;HMDB0033433;HMDB0033752;HMDB0033896;HMDB0034146;HMDB0034219;HMDB0034220;HMDB0034252;HMDB0034301;HMDB0034367;HMDB0035514;HMDB0036323;HMDB0036657;HMDB0037396;HMDB0037397;HMDB0038666;HMDB0039229;HMDB0041623;HMDB0041842;HMDB0059655;HMDB0059911;HMDB0060015;HMDB0060038;HMDB0060256;HMDB0060493;HMDB0061112;HMDB0061115;HMDB0061656;HMDB0061684;HMDB0061697;HMDB0061701;HMDB0061703;HMDB0061705;HMDB0061707;HMDB0061709;HMDB0061711;HMDB0061714;HMDB0061822;HMDB0061835;HMDB0061864;HMDB0061890;HMDB0061914;HMDB0061918;HMDB0062121;HMDB0062436;HMDB0062547;HMDB0062549;HMDB0062551;HMDB0062555;HMDB0062557;HMDB0062562;HMDB0062656;HMDB0062657;HMDB0062660;HMDB0062720;HMDB0094646;HMDB0094648;HMDB0094649;HMDB0094650;HMDB0094651;HMDB0094656;HMDB0094657;HMDB0094673;HMDB0094676;HMDB0094680;HMDB0094682;HMDB0094696;HMDB0094698;HMDB0094701;HMDB0094704;HMDB0094708;HMDB0094710;HMDB0240219;HMDB0240252;HMDB0240261;HMDB0240262,15725;50613;17066;16450;15698;17405;16530;18101;37373;18261;15956;16708;28865;43029;30772;15366;41139;16027;16335;16990;16958;15344;16347;16919;16113;17964;28997;15901;17172;17562;17724;30769;17361;15354;53455;17256;16865;17497;15903;15428;15978;17754;16235;16750;18012;17687;32398;28061;16015;16000;17189;30797;17368;17895;17295;16977;17203;47937;16857;17196;28729;17191;2181;15971;18019;17115;422;17053;16283;18323;17596;16411;57589;17752;16196;30915;30745;46905;17268;40356;18297;15729;506227;15756;17490;17553;16742;15882;45744;18385;30768;16709;32816;17015;17924;15891;16393;15741;15440;17992;28790;17821;18183;16566;15611;17748;16927;47013;17775;1127735;17712;16199;16704;18107;17568;30817;16765;15760;89228;17023;70766;16831;nan;1427;16390;16312;60645;81298;nan;68567;48400;15584;82912;17445;35704;30832;18040;89344;35619;589927;15676;9171;nan;17780;27596;28837;30816;nan;35932;nan;30763;88108;15963;37023;30813;16259;16467;131434;86595;40410;30776;20912;nan;nan;43433;16737;43065;18333;27997;17561;89519;89582;37655;16359;17173;4676;33198;28834;16040;27471;17626;36274;30805;30997;18050;40886;28797;68830;28645;17859;59783;45571;nan;73722;17351;70984;17443;43355;15603;74903;30794;48430;16643;33404;64390;32800;73830;15999;89929;30830;86543;73081;18089;18344;28484;15699;45630;70744;36259;18095;50129;17588;44510;32978;68566;37084;17385;84834;73514;nan;16325;28631;16899;40992;17802;39246;25998;133086;48131;18102;41865;16285;18265;28875;89963;21547;16388;42504;28842;9008;29019;84644;62346;27693;28497;7274;30531;21563;18295;76308;17254;nan;18123;16933;10072;16414;45996;73713;17418;9300;9410;28664;16349;86570;16175;15724;16828;545687;28824;15908;28941;9907;32368;16525;17620;75145;17033;16552;16814;15843;nan;49728;30754;63154;17533;42394;16244;17168;17509;15918;17013;16238;16521;16610;10295;48928;17311;41941;83358;30841;16026;27432;30753;4170;17154;17148;26078;17431;15940;18185;17500;47977;17621;1438;17929;17310;19062;18132;17140;18347;91316;27732;18403;36062;68447;17847;46195;25858;30746;16135;28972;16016;62207;28177;18145;16914;6801;7476;5778;63598;nan;6904;47426;51209;37100;16433;65136;68531;16817;48991;28364;27781;28866;17016;670;17327;52617;32374;17768;28792;68329;71466;71464;29069;116314;691622;18388;28125;32980;37371;28822;32425;32365;59270;nan;3962;73087;88824;43580;18127;73718;32154;37659;44247;975589;9908;89118;30764;17270;47962;17864;9347;16168;17846;83037;15600;28610;77807;28946;28623;47772;17151;53486;17113;17521;28661;68441;62064;17627;16634;28088;28816;28716;28727;28374;28197;24809;16020;25682;15966;15887;33885;16880;16176;16125;15728;16354;17645;2710;27389;28718;48300;6320;4260;36378;27410;73521;27373;1879;58968;nan;46961;40521;52392;34154;34496;35280;72956;77996;72959;72961;72962;72966;74450;72968;72965;134548;39548;42797;73731;84651;123715;34778;28230;15864;28499;30778;28412;21553;10642;81555;70824;42989;47771;17884;17364;53488;32389;27748;73757;78646;87248;72865;72998;73858;68444;68449;149744;75036;75550;nan;68434;68433;61695;74795;73004;74971;83058;75454;nan;nan;75455;87254;75456;nan;73990;75457;nan;75474;nan;nan;nan;nan;nan;nan;nan;86398;nan;nan;nan;nan;nan;nan;nan;nan;nan;75536;nan;nan;75542;nan;nan;75757;75561;nan;75575;nan;nan;nan;nan;nan;nan;34071;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;27844;82914;17597;67410;nan;17201;73705;21557;15573;77761;17786;21565;15684;57885;74475;18346;85299;nan;73808;70811;73585;72723;16296;73723;71018;74640;28804;6456;101278;28593;8426;72816;61565;73771;73805;73770;73807;73393;73762;73395;73809;73814;73815;73817;73818;141419;73822;73823;141421;nan;nan;nan;nan;73846;nan;141436;73506;73512;73513;68846;nan;nan;nan;nan;nan;73517;73922;73924;73930;141437;5729;141438;74055;74058;74060;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;73527;nan;nan;nan;nan;nan;73531;nan;nan;nan;nan;nan;nan;nan;74561;73605;74567;73608;73607;nan;nan;nan;nan;73630;73631;74712;73635;74717;74719;71032;74751;73637;73638;nan;nan;90326;74815;71029;74820;74823;141446;74860;nan;90328;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;60987;nan;75008;73711;nan;75010;75011;73699;73700;75012;75013;75014;75015;75016;75021;nan;nan;73703;73704;nan;nan;28821;nan;32111;7912;46996;27865;16587;16514;142577;nan;84890;43722;45969;89058;30796;nan;37081;16437;nan;31835;15714;17957;nan;16104;nan;34900;28548;27374;64305;18049;82965;133221;nan;nan;143095;133136;nan;88956;nan;3210;17084;32635;27905;75094;5341922;21615;41254;5832;37374;21555;nan;76071;nan;87998;39250;70850;340824;75117;49793;44748;83063;nan;79162;31697;86612;32419;82942;18129;82932;nan;45826;27248;82984;83040;16440;82911;nan;nan;40682;133119;132991;nan;133221;71608;nan;44794;133101;90344;nan;21560;137541;44920;64414;50464;133026;83054;76078
