index,Disease_english,ICD_class,ICD10,reference,reliability,comment
KMN3,Sepsis,A30-A49,A41,who-icd,,
KMN16,Hereditary Nonpolyposis Colon Cancer,C15-C26,D48.9,orphanet,low,Lynch Syndrome is synonymous with Hereditary Non-Polyposis Colon Cancer (HNPCC).
KMN23,Pancreatic Endocrine Tumor,C15-C26,C25.4,who-icd,,
KMN24,Nesidioblastosis of Pancreas,C15-C26,C25.4,,,
KMN36,Cutaneous Squamous Cell Carcinoma,C43-C44,C44,cms-gov-2021,,
KMN37,Dermatofibrosarcoma Protuberans,C43-C44,C44;C49,web;orphanet,low,
KMN41,Hemangiopericytoma,C45-C49,C49;D21.9,wikipedia;orphanet,low,
KMN42,Liposarcoma,C45-C49,C49.9,who-icd,,
KMN43,Mesothelioma,C45-C49,C45,who-icd,,
KMN44,Soft Tissue Sarcoma,C45-C49,C49,who-icd,,
KMN46,Peripheral Nerve Sheath Tumors,C45-C49,C47,orphanet,,
KMN48,Sertoli Cell Tumor,C51-C58,"C56, C62",orphanet,,
KMN49,Leydig Cell Tumor,C51-C58,"C56, C62",orphanet,,
KMN51,Cervix Cancer,C51-C58,C53,who-icd,,
KMN52,Carcinoma of the Fallopian Tube,C51-C58,C57,cms-gov-2021,,
KMN55,Seminoma,C60-C63,C62.9,who-icd,,
KMN57,Nonseminoma,C60-C63,C62,,low,
KMN75,Thyroid Neoplasia,C73-C75,C73,orphanet,,
KMN86,B-cell Lymphoma,C81-C96,C85.1,who-icd,,
KMN87,B-cell Chronic Lymphocytic Leukaemia,C81-C96,C91.1,who-icd,,
KMN88,MALT Lymphoma,C81-C96,C88.4,who-icd,,
KMN89,POEMS Syndrome,C81-C96,D47.7,orphanet,low,
KMN90,T-cell Acute Lymphoid Leukemia,C81-C96,C91.0,cms-gov-2021,,acute lymphoblastic leukemia
KMN91,Diffuse Large-Cell Lymphoma,C81-C96,C83.3,who-icd,,
KMN92,Diffuse Large B-cell Lymphoma,C81-C96,C83.3,who-icd,,
KMN93,alpha Heavy Chain Disease,C81-C96,C88.3,who-icd,,
KMN94,gamma Heavy Chain Disease,C81-C96,C88.2,who-icd,,
KMN96,Sezary Syndrome,C81-C96,C84.1,orphanet,,
KMN98,Plasma-cell Leukaemia,C81-C96,C90.1,who-icd,,
KMN100,Mantle-cell Lymphoma,C81-C96,C83.1,who-icd,,
KMN101,mu Heavy Chain Disease,C81-C96,C88.2,who-icd,,
KMN103,Waldenstrom's Macroglobulinemia,C81-C96,C88.0,who-icd,,
KMN104,Acute Lymphoid Leukemia,C81-C96,C91.0,who-icd,,
KMN106,Minimally Differentiated Leukemia,C81-C96,C92.0,who-icd,,
KMN107,Myeloblastic Leukemia without Maturation,C81-C96,C92,orphanet,,
KMN108,Myeloblastic Leukemia with Maturation,C81-C96,C92,orphanet,,
KMN109,Hypergranular Promyelocytic Leukemia,C81-C96,C92.4,who-icd;wikipedia,,
KMN110,Myelomonocytic Leukemia,C81-C96,C92,who-icd,,
KMN111,Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils,C81-C96,C92,,,
KMN112,Erythroleukemia,C81-C96,C94.0,who-icd,,
KMN113,Megakaryoblastic leukemia,C81-C96,C94.2,who-icd,,
