ENTRY	Name	MeSH	OMIM	ICD-10	ICD-11	MedlinePlus	Alias_Name	Pathway	Gene_symbol	UniProtID	Drug_name	kegg_drugID	DrugBank	CAS	ChEBI	UniProt_count	Symbol_count	DrugBank_count	HMDB_ChEBI	HMDB_ChEBI_count	keymolnet_id
H00001	B-cell acute lymphoblastic leukemia	D054198	NO_DATA	C83.5;C91.0	2A70	NO_DATA	B-cell acute lymphocytic leukemia	NO_DATA	TEL-AML1;CRLF2;MLL-AF4;PAX5;BCR-ABL;E2A-PBX1;c-MYC	A0A024R8E2;P01106;P15923;Q02548;P00519;Q01196;Q9HC73;P51825;Q03164;A8K5V0;Q14C88;D0E2W4;P40424;Q59FK4;A1MJ41	Cyclophosphamide;Methotrexate;Mercaptopurine;Clofarabine;Vincristine sulfate;Teniposide;Doxorubicin hydrochloride;Daunorubicin hydrochloride;Mitoxantrone hydrochloride;Imatinib mesylate;Dasatinib;Ponatinib hydrochloride;Blinatumomab;Inotuzumab ozogamicin;Asparaginase;Pegaspargase;Tisagenlecleucel-T;Enocitabine;Calaspargase pegol	D00287;D00142;D00161;D03546;D02197;D02698;D01275;D01264;D02166;D01441;D06414;D09951;D09325;D08933;D02997;D05387;D11386;D01633;D10096	DB00531;DB00563;DB01033;DB00631;DB00541;DB00444;DB00694;DB01204;DB00619;DB00023;DB00059	6055-19-2;59-05-2;6112-76-1;123318-82-1;2068-78-2;29767-20-2;25316-40-9;23541-50-6;70476-82-3;220127-57-1;863127-77-9;1114544-31-8;853426-35-4;635715-01-4;9015-68-3;130167-69-0;1823078-37-0;55726-47-1;NA	4026;44185;31822;681569;79401;75988;31522;31456;50727;31690;70839;NA;NA;NA;NA;NA;NA;31537;NA	15.0	7.0	11.0	NO_DATA	0.0	NO_DATA
H00002	T-cell acute lymphoblastic leukemia	D054218	NO_DATA	C83.5;C91.0	2A71	NO_DATA	T-cell acute lymphocytic leukemia	NO_DATA	MYC;LYL1;PICALM-MLLT10;MLL-ENL;LMO2;TAL1;HOX11;NOTCH1;HOX11L2	P01106;Q16509;P55197;P12980;P25791;Q6N002;Q59EQ6;O43711;Q03164;P17542;P31314;P46531	Cyclophosphamide;Methotrexate;Mercaptopurine;Clofarabine;Nelarabine;Vincristine sulfate;Teniposide;Doxorubicin hydrochloride;Daunorubicin hydrochloride;Mitoxantrone hydrochloride;Asparaginase;Pegaspargase;Enocitabine;Calaspargase pegol	D00287;D00142;D00161;D03546;D05134;D02197;D02698;D01275;D01264;D02166;D02997;D05387;D01633;D10096	DB00531;DB00563;DB01033;DB00631;DB01280;DB00541;DB00444;DB00694;DB01204;DB00023;DB00059	6055-19-2;59-05-2;6112-76-1;123318-82-1;121032-29-9;2068-78-2;29767-20-2;25316-40-9;23541-50-6;70476-82-3;9015-68-3;130167-69-0;55726-47-1;NA	4026;44185;31822;681569;63612;79401;75988;31522;31456;50727;NA;NA;31537;NA	12.0	9.0	11.0	NO_DATA	0.0	NO_DATA
H00004	Chronic myeloid leukemia	D015464	NO_DATA	C92.1	2A20.0	NO_DATA	NO_DATA	hsa05220  Chronic myeloid leukemia	GADD45B;CHUK;SHC4;AKT3;AML1;HDAC2;TGFBR1;TGFBR2;PIK3CD;SHC1;BCR;GADD45G;GADD45A;POLK;PIK3R2;CTBP2;TGFB3;SMAD3;PIK3R3;CRKL;BAX;CDKN1A;PIK3CA;PTPN11;SHC2;PIK3R1;GAB2;EVI1;MAP2K2;HDAC1;CCND1;STAT5A;p53;HRAS;DDB2;E2F1;SHC3;CDK6;BCL2L1;BCR-ABL;KRAS;CRK;RUNX1;RELA;MDM2;SOS1;ARAF;TGFB2;MYC;IKBKB;BRAF;AKT1;CTBP1;CDKN1B;PIK3CB;BAD;CBL;TGFB1;BAK1;IKBKG;ABL1;NFKB1;SOS2;MECOM;MAPK1;E2F3;MAPK3;NRAS;GRB2;TP53;p16/INK4A;RB1;STAT5B;AKT2;CDK4;RAF1;MAP2K1;CDKN2A;NFKBIA;SMAD4;E2F2	P04049;A0A2X0SFG1;P46109;P10398;Q13363;A0A0S2Z391;P61812;A0A024R562;A0A024RCX5;Q92529;P42771;O00459;A8K6I5;Q9UQC2;Q9UBT6;X5D8Y5;P11802;Q06124;Q9P0T0;Q6FI00;P42229;Q03112;Q6I9V6;Q9Y6K9;Q00534;Q00987;P04637;A0A2K8FKV1;P37173;A0A024R8E2;A0A024R178;A0A024RAP4;P27361;P01137;O95257;Q5T7S2;O15111;P42336;P42338;P46527;A0A499FJK2;A0A0S2Z3C5;Q5U091;P98077;P25963;Q8N381;P11274;P36507;P28482;Q13547;Q16611;L7RXH5;L7RSL8;A4QPA9;L7RT18;P31751;L7RRS6;P15056;Q13485;P84022;P36897;K7PML8;Q07889;O75293;O14920;Q02750;I1SRC5;B0LPF3;A3QNQ0;P00519;P38936;Q499G7;P56545;K7PPA8;P27986;Q04206;A0A024RBB6;P31749;Q6S5L8;Q9Y243;P46108;P29353;A0A024R274;Q59FK4;Q9BSD8;P19838;Q92769;Q01094;P01112;Q53GA5;P01116;Q4LE51;Q07890;P10600;Q92934;P51692;P22681;Q59GY7;P01106;Q92466;B4DXN7;P06400;A0A0S2Z3Q4;Q6IT96;P62993;Q1HBJ4;Q59EG9;P24385;A0A024R5Z3;Q14209;O00716;Q07812;X5D945;B0LPE5;Q01196;Q07817;A0A384N5W4;A5YM40;O00329;P01111;Q92569;P24522;A0A024RDV3	Busulfan;Thioguanine;Cytarabine;Imatinib mesylate;Dasatinib;Nilotinib hydrochloride hydrate;Bosutinib hydrate;Ponatinib hydrochloride;Hydroxyurea;Omacetaxine mepesuccinate;Sodium phosphate P 32	D00248;D06109;D00168;D01441;D06414;D06413;D09728;D09951;D00341;D08956;D05870	DB01008;DB00352;DB00987;DB00619;DB01005	55-98-1;NA;147-94-4;220127-57-1;863127-77-9;NA;NA;1114544-31-8;127-07-1;26833-87-4;7635-46-3	28901;NA;28680;31690;70839;NA;68533;NA;44423;71019;NA	123.0	81.0	5.0	NO_DATA	0.0	NO_DATA
H00005	Chronic lymphocytic leukemia	D015451	NO_DATA	C91.1	2A82.0	NO_DATA	NO_DATA	NO_DATA	Fas;ATM;Bcl-2;p53	Q13315;A0A024R2B3;P25445;P10415;K7PPA8;P04637;Q53GA5;A0A024R3C7	Cyclophosphamide;Chlorambucil;Bendamustine hydrochloride;Fludarabine phosphate;Ibrutinib;Acalabrutinib;Idelalisib;Duvelisib;Rituximab;Ofatumumab;Obinutuzumab;Venetoclax;Alemtuzumab;Sodium phosphate P 32;Ibritumomab tiuxetan;Rituximab and hyaluronidase	D00287;D00266;D07085;D01907;D10223;D10893;D10560;D10555;D02994;D09314;D09321;D10679;D02802;D05870;D04489;D11393	DB00531;DB00291;DB01073;DB00073;DB00087;DB00078	6055-19-2;305-03-3;3543-75-7;75607-67-9;936563-96-1;1420477-60-6;870281-82-6;1201438-56-3;174722-31-7;679818-59-8;949142-50-1;1257044-40-8;216503-57-0;7635-46-3;206181-63-7;NA	4026;28830;NA;63599;76612;167707;NA;NA;NA;NA;NA;133021;NA;NA;NA;NA	8.0	4.0	6.0	NO_DATA	0.0	NO_DATA
H00015	Malignant pleural mesothelioma	D008654	NO_DATA	C45	2C26	NO_DATA	NO_DATA	NO_DATA	PDGF-A;PDGF-B;p16/CDKN2A;p15/CDKN2B;IGF-1;IGF-R1;NF2;p53	P08069;P35240;K7PML8;P42772;P01127;A0A384NYY3;A0A024R1J8;K7PPU3;P42771;P04085;K7PPA8;P04637;Q53GA5;P05019	Pemetrexed sodium hydrate	D06503	DB00642	NO_DATA	63723	14.0	8.0	1.0	NO_DATA	0.0	NO_DATA
H00023	Testicular cancer	D013736	NO_DATA	C62	2C80	NO_DATA	NO_DATA	NO_DATA	Cyclin D2	P30279	Ifosfamide;Vinblastine sulfate;Etoposide;Etoposide phosphate;Dactinomycin;Bleomycin sulfate;Cisplatin	D00343;D01068;D00125;D04107;D00214;D02177;D00275	DB01181;DB00570;DB00773;DB00773;DB00970;DB00290;DB00515	3778-73-2;143-67-9;33419-42-0;117091-64-2;50-76-0;9041-93-4;15663-27-1	5864;9984;4911;NA;27666;34582;27899	1.0	1.0	7.0	NO_DATA	0.0	NO_DATA
H00029	Vulvar cancer	D014846	NO_DATA	C51	2C70	NO_DATA	NO_DATA	NO_DATA	PTEN;p53	F6KD01;K7PPA8;P04637;Q53GA5;P60484	Imiquimod;Recombinant adsorbed quadrivalent human papillomavirus virus-like particle vaccine	D02500;D10192	DB00724	99011-02-6;NA	NA;NA	5.0	2.0	1.0	NO_DATA	0.0	NO_DATA
H00030	Cervical cancer	D002583	NO_DATA	C53	2C77	NO_DATA	NO_DATA	NO_DATA	CDK4;K-ras;H-ras;Bcl-2;ERBB2;EGFR;p21	Q504U8;P01116;A0A024RBB6;I1SRC5;P04626;L7RSL8;X5D945;F2YGG7;P38936;A0A024RCX5;A0A024R2B3;X5DNK3;P10415;P00533;P01112;P11802	Recombinant adsorbed quadrivalent human papillomavirus virus-like particle vaccine;Topotecan hydrochloride;Bevacizumab;Pembrolizumab	D10192;D02168;D06409;D10574	DB01030;DB00112	NA;119413-54-6;216974-75-3;1374853-91-4	NA;NA;NA;NA	16.0	7.0	2.0	NO_DATA	0.0	NO_DATA
H00032	Thyroid cancer	D013964	NO_DATA	C73	2D10	NO_DATA	NO_DATA	hsa05216  Thyroid cancer	GADD45B;NTRK1;TCF7L2;H-ras;BAX;CDKN1A;MAPK1;LEF1;TFG;MAPK3;TPM3/NTRK1;NRAS;MYC;CTNNB1;RET;BRAF;TPR;E-cadherin;GADD45G;K-ras;beta-Catenin;MAP2K2;GADD45A;TP53;PPARG;RXRA;RXRG;N-ras;POLK;NCOA4;CDH1;CCND1;TPM3;p53;PAX8;HRAS;RXRB;BAK1;RET/PTC3;DDB2;TCF7L1;MAP2K1;PAX8/PPARgamma;TCF7;TPR/NTRK1;RET/PTC1;CCDC6;TFG/NTRK1;KRAS	A0A024R2Q3;P19793;A0A024RAP4;Q9HCS4;Q16204;P35222;A0A0S2Z391;A0A024QZI5;Q96E88;P01112;Q53GA5;P27361;O75293;P28702;Q02750;P01116;O95257;P48443;I1SRC5;A0A024RCX5;Q06710;Q5U091;B3KQ75;P37231;F1D8Q7;P07949;Q6P3U7;Q13772;F1D8Q5;P01106;Q659G9;Q5STP9;Q92466;Q9UBT6;P38936;Q499G7;P36402;P04629;P15056;Q1HBJ4;R9W7C9;K7PPA8;P06753;P36507;P24385;P28482;A0A0U2ZQU7;Q16611;Q6FI00;Q92734;Q07812;L7RSL8;L7RXH5;P12270;P01111;B3GN61;Q9NQB0;A4QPA9;X5D945;Q05CP8;P12830;P04637;A0A024R7T2;P24522;Q9UJU2	Doxorubicin hydrochloride;Dabrafenib mesylate;Trametinib dimethyl sulfoxide;Sorafenib tosylate;Lenvatinib mesylate;Sodium iodide I 131;Thyroid;Selpercatinib	D01275;D10104;D10176;D06272;D09920;D02259;D06482;D11713	DB00398	25316-40-9;1195768-06-9;1187431-43-1;475207-59-1;857890-39-2;7790-26-3;8028-36-2;2152628-33-4	31522;75048;75991;NA;85995;NA;9584;NA	65.0	49.0	1.0	NO_DATA	0.0	NO_DATA
H00034	Carcinoid	D002276	NO_DATA	C17	2B80	NO_DATA	NO_DATA	NO_DATA	MEN1;SDHD	O00255;O14521;A0A0S2Z4J3;A0A024R5D2	Telotristat ethyl;Octreotide acetate	D09974;D06495	DB00104	1033805-22-9;79517-01-4	NA;NA	4.0	2.0	1.0	NO_DATA	0.0	NO_DATA
