	ENTRY	KEGG_disease_name	KEGG_synosyms	ICD-10	header	float	ICD_mid_class	KMN_candidate_IDs	KMN_candidate_Names
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN86;KMN87;KMN88;KMN89;KMN90;KMN91;KMN92;KMN93;KMN94;KMN96;KMN98;KMN100;KMN101;KMN103;KMN104;KMN106;KMN107;KMN108;KMN109;KMN110;KMN111;KMN112;KMN113;KMN115;KMN116;KMN117;KMN118;KMN119;KMN120;KMN121;KMN123;KMN124;KMN127;KMN128;KMN129;KMN130	B-cell Lymphoma;B-cell Chronic Lymphocytic Leukaemia;MALT Lymphoma;POEMS Syndrome;T-cell Acute Lymphoid Leukemia;Diffuse Large-Cell Lymphoma;Diffuse Large B-cell Lymphoma;alpha Heavy Chain Disease;gamma Heavy Chain Disease;Sezary Syndrome;Plasma-cell Leukaemia;Mantle-cell Lymphoma;mu Heavy Chain Disease;Waldenstrom's Macroglobulinemia;Acute Lymphoid Leukemia;Minimally Differentiated Leukemia;Myeloblastic Leukemia without Maturation;Myeloblastic Leukemia with Maturation;Hypergranular Promyelocytic Leukemia;Myelomonocytic Leukemia;Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils;Erythroleukemia;Megakaryoblastic leukemia;Nodular Lymphocyte-Predominant Hodgkin's Lymphoma;Primary Effusion Lymphoma;Classical Hodgkin's Lymphoma;Adult T Cell Lymphoma/Leukemia;Primary Testicular Lymphoma;Precursor B Cell Acute Lymphoid Leukemia;Precursor T cell Lymphoblastic Lymphoma;Monocytic Leukemia;Cutaneous T cell Lymphoma;Chronic Myelogenous Leukemia;Anaplastic Large T-cell Lymphoma;Immunoblastic lymphoma;Immunoproliferative Small Intestinal Disease
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN86;KMN87;KMN88;KMN89;KMN90;KMN91;KMN92;KMN93;KMN94;KMN96;KMN98;KMN100;KMN101;KMN103;KMN104;KMN106;KMN107;KMN108;KMN109;KMN110;KMN111;KMN112;KMN113;KMN115;KMN116;KMN117;KMN118;KMN119;KMN120;KMN121;KMN123;KMN124;KMN127;KMN128;KMN129;KMN130	B-cell Lymphoma;B-cell Chronic Lymphocytic Leukaemia;MALT Lymphoma;POEMS Syndrome;T-cell Acute Lymphoid Leukemia;Diffuse Large-Cell Lymphoma;Diffuse Large B-cell Lymphoma;alpha Heavy Chain Disease;gamma Heavy Chain Disease;Sezary Syndrome;Plasma-cell Leukaemia;Mantle-cell Lymphoma;mu Heavy Chain Disease;Waldenstrom's Macroglobulinemia;Acute Lymphoid Leukemia;Minimally Differentiated Leukemia;Myeloblastic Leukemia without Maturation;Myeloblastic Leukemia with Maturation;Hypergranular Promyelocytic Leukemia;Myelomonocytic Leukemia;Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils;Erythroleukemia;Megakaryoblastic leukemia;Nodular Lymphocyte-Predominant Hodgkin's Lymphoma;Primary Effusion Lymphoma;Classical Hodgkin's Lymphoma;Adult T Cell Lymphoma/Leukemia;Primary Testicular Lymphoma;Precursor B Cell Acute Lymphoid Leukemia;Precursor T cell Lymphoblastic Lymphoma;Monocytic Leukemia;Cutaneous T cell Lymphoma;Chronic Myelogenous Leukemia;Anaplastic Large T-cell Lymphoma;Immunoblastic lymphoma;Immunoproliferative Small Intestinal Disease
2	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN86;KMN87;KMN88;KMN89;KMN90;KMN91;KMN92;KMN93;KMN94;KMN96;KMN98;KMN100;KMN101;KMN103;KMN104;KMN106;KMN107;KMN108;KMN109;KMN110;KMN111;KMN112;KMN113;KMN115;KMN116;KMN117;KMN118;KMN119;KMN120;KMN121;KMN123;KMN124;KMN127;KMN128;KMN129;KMN130	B-cell Lymphoma;B-cell Chronic Lymphocytic Leukaemia;MALT Lymphoma;POEMS Syndrome;T-cell Acute Lymphoid Leukemia;Diffuse Large-Cell Lymphoma;Diffuse Large B-cell Lymphoma;alpha Heavy Chain Disease;gamma Heavy Chain Disease;Sezary Syndrome;Plasma-cell Leukaemia;Mantle-cell Lymphoma;mu Heavy Chain Disease;Waldenstrom's Macroglobulinemia;Acute Lymphoid Leukemia;Minimally Differentiated Leukemia;Myeloblastic Leukemia without Maturation;Myeloblastic Leukemia with Maturation;Hypergranular Promyelocytic Leukemia;Myelomonocytic Leukemia;Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils;Erythroleukemia;Megakaryoblastic leukemia;Nodular Lymphocyte-Predominant Hodgkin's Lymphoma;Primary Effusion Lymphoma;Classical Hodgkin's Lymphoma;Adult T Cell Lymphoma/Leukemia;Primary Testicular Lymphoma;Precursor B Cell Acute Lymphoid Leukemia;Precursor T cell Lymphoblastic Lymphoma;Monocytic Leukemia;Cutaneous T cell Lymphoma;Chronic Myelogenous Leukemia;Anaplastic Large T-cell Lymphoma;Immunoblastic lymphoma;Immunoproliferative Small Intestinal Disease
3	H00002	T-cell acute lymphoblastic leukemia	T-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN86;KMN87;KMN88;KMN89;KMN90;KMN91;KMN92;KMN93;KMN94;KMN96;KMN98;KMN100;KMN101;KMN103;KMN104;KMN106;KMN107;KMN108;KMN109;KMN110;KMN111;KMN112;KMN113;KMN115;KMN116;KMN117;KMN118;KMN119;KMN120;KMN121;KMN123;KMN124;KMN127;KMN128;KMN129;KMN130	B-cell Lymphoma;B-cell Chronic Lymphocytic Leukaemia;MALT Lymphoma;POEMS Syndrome;T-cell Acute Lymphoid Leukemia;Diffuse Large-Cell Lymphoma;Diffuse Large B-cell Lymphoma;alpha Heavy Chain Disease;gamma Heavy Chain Disease;Sezary Syndrome;Plasma-cell Leukaemia;Mantle-cell Lymphoma;mu Heavy Chain Disease;Waldenstrom's Macroglobulinemia;Acute Lymphoid Leukemia;Minimally Differentiated Leukemia;Myeloblastic Leukemia without Maturation;Myeloblastic Leukemia with Maturation;Hypergranular Promyelocytic Leukemia;Myelomonocytic Leukemia;Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils;Erythroleukemia;Megakaryoblastic leukemia;Nodular Lymphocyte-Predominant Hodgkin's Lymphoma;Primary Effusion Lymphoma;Classical Hodgkin's Lymphoma;Adult T Cell Lymphoma/Leukemia;Primary Testicular Lymphoma;Precursor B Cell Acute Lymphoid Leukemia;Precursor T cell Lymphoblastic Lymphoma;Monocytic Leukemia;Cutaneous T cell Lymphoma;Chronic Myelogenous Leukemia;Anaplastic Large T-cell Lymphoma;Immunoblastic lymphoma;Immunoproliferative Small Intestinal Disease
4	H00004	Chronic myeloid leukemia	NO_DATA	C92.1	C	92.1	C81-C96	KMN86;KMN87;KMN88;KMN89;KMN90;KMN91;KMN92;KMN93;KMN94;KMN96;KMN98;KMN100;KMN101;KMN103;KMN104;KMN106;KMN107;KMN108;KMN109;KMN110;KMN111;KMN112;KMN113;KMN115;KMN116;KMN117;KMN118;KMN119;KMN120;KMN121;KMN123;KMN124;KMN127;KMN128;KMN129;KMN130	B-cell Lymphoma;B-cell Chronic Lymphocytic Leukaemia;MALT Lymphoma;POEMS Syndrome;T-cell Acute Lymphoid Leukemia;Diffuse Large-Cell Lymphoma;Diffuse Large B-cell Lymphoma;alpha Heavy Chain Disease;gamma Heavy Chain Disease;Sezary Syndrome;Plasma-cell Leukaemia;Mantle-cell Lymphoma;mu Heavy Chain Disease;Waldenstrom's Macroglobulinemia;Acute Lymphoid Leukemia;Minimally Differentiated Leukemia;Myeloblastic Leukemia without Maturation;Myeloblastic Leukemia with Maturation;Hypergranular Promyelocytic Leukemia;Myelomonocytic Leukemia;Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils;Erythroleukemia;Megakaryoblastic leukemia;Nodular Lymphocyte-Predominant Hodgkin's Lymphoma;Primary Effusion Lymphoma;Classical Hodgkin's Lymphoma;Adult T Cell Lymphoma/Leukemia;Primary Testicular Lymphoma;Precursor B Cell Acute Lymphoid Leukemia;Precursor T cell Lymphoblastic Lymphoma;Monocytic Leukemia;Cutaneous T cell Lymphoma;Chronic Myelogenous Leukemia;Anaplastic Large T-cell Lymphoma;Immunoblastic lymphoma;Immunoproliferative Small Intestinal Disease
5	H00005	Chronic lymphocytic leukemia	NO_DATA	C91.1	C	91.1	C81-C96	KMN86;KMN87;KMN88;KMN89;KMN90;KMN91;KMN92;KMN93;KMN94;KMN96;KMN98;KMN100;KMN101;KMN103;KMN104;KMN106;KMN107;KMN108;KMN109;KMN110;KMN111;KMN112;KMN113;KMN115;KMN116;KMN117;KMN118;KMN119;KMN120;KMN121;KMN123;KMN124;KMN127;KMN128;KMN129;KMN130	B-cell Lymphoma;B-cell Chronic Lymphocytic Leukaemia;MALT Lymphoma;POEMS Syndrome;T-cell Acute Lymphoid Leukemia;Diffuse Large-Cell Lymphoma;Diffuse Large B-cell Lymphoma;alpha Heavy Chain Disease;gamma Heavy Chain Disease;Sezary Syndrome;Plasma-cell Leukaemia;Mantle-cell Lymphoma;mu Heavy Chain Disease;Waldenstrom's Macroglobulinemia;Acute Lymphoid Leukemia;Minimally Differentiated Leukemia;Myeloblastic Leukemia without Maturation;Myeloblastic Leukemia with Maturation;Hypergranular Promyelocytic Leukemia;Myelomonocytic Leukemia;Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils;Erythroleukemia;Megakaryoblastic leukemia;Nodular Lymphocyte-Predominant Hodgkin's Lymphoma;Primary Effusion Lymphoma;Classical Hodgkin's Lymphoma;Adult T Cell Lymphoma/Leukemia;Primary Testicular Lymphoma;Precursor B Cell Acute Lymphoid Leukemia;Precursor T cell Lymphoblastic Lymphoma;Monocytic Leukemia;Cutaneous T cell Lymphoma;Chronic Myelogenous Leukemia;Anaplastic Large T-cell Lymphoma;Immunoblastic lymphoma;Immunoproliferative Small Intestinal Disease
6	H00015	Malignant pleural mesothelioma	NO_DATA	C45	C	45.0	C45-C49	KMN41;KMN42;KMN43;KMN44;KMN46	Hemangiopericytoma;Liposarcoma;Mesothelioma;Soft Tissue Sarcoma;Peripheral Nerve Sheath Tumors
7	H00023	Testicular cancer	NO_DATA	C62	C	62.0	C60-C63	KMN55;KMN57	Seminoma;Nonseminoma
8	H00029	Vulvar cancer	NO_DATA	C51	C	51.0	C51-C58	KMN48;KMN49;KMN51;KMN52	Sertoli Cell Tumor;Leydig Cell Tumor;Cervix Cancer;Carcinoma of the Fallopian Tube
9	H00030	Cervical cancer	NO_DATA	C53	C	53.0	C51-C58	KMN48;KMN49;KMN51;KMN52	Sertoli Cell Tumor;Leydig Cell Tumor;Cervix Cancer;Carcinoma of the Fallopian Tube
10	H00032	Thyroid cancer	NO_DATA	C73	C	73.0	C73-C75	KMN75	Thyroid Neoplasia
11	H00034	Carcinoid	NO_DATA	C17	C	17.0	C15-C26	KMN16;KMN23;KMN24	Hereditary Nonpolyposis Colon Cancer;Pancreatic Endocrine Tumor;Nesidioblastosis of Pancreas
12	H00040	Squamous cell carcinoma	NO_DATA	C44	C	44.0	C43-C44	KMN36;KMN37	Cutaneous Squamous Cell Carcinoma;Dermatofibrosarcoma Protuberans
13	H00058	Amyotrophic lateral sclerosis (ALS)	Lou Gehrig disease	G12.2	G	12.2	G10-G13	KMN586;KMN590;KMN591	X-Linked Spinobulbar Muscular Atrophy;Amyotrophic Lateral Sclerosis;Dentatorubropallidoluysian Atrophy
14	H00081	Hashimoto thyroiditis	NO_DATA	E06.3	E	6.3	E00-E07	KMN282;KMN283;KMN284;KMN285;KMN286;KMN287;KMN288;KMN289;KMN290;KMN291	X-linked TBG Deficiency;Graves' Disease;Sick Euthyroid Syndrome;Familial Dysalbuminemic Hyperthyroxinemia;Hashimoto's disease;Resistance to Thyroid Hormone;Euthyroid Hyperthyroxinemia;Thyroid Disease;Autoimmune Hypothyroidism;Congenital Hypothyroidism
15	H00082	Graves disease	NO_DATA	E05.0	E	5.0	E00-E07	KMN282;KMN283;KMN284;KMN285;KMN286;KMN287;KMN288;KMN289;KMN290;KMN291	X-linked TBG Deficiency;Graves' Disease;Sick Euthyroid Syndrome;Familial Dysalbuminemic Hyperthyroxinemia;Hashimoto's disease;Resistance to Thyroid Hormone;Euthyroid Hyperthyroxinemia;Thyroid Disease;Autoimmune Hypothyroidism;Congenital Hypothyroidism
16	H00083	Allograft rejection	NO_DATA	T86	T	86.0	NO_DATA	NO_DATA	NO_DATA
17	H00100	Neutropenic disorders	NO_DATA	D70	D	70.0	D70-D77	KMN233;KMN234;KMN236;KMN237;KMN238;KMN239;KMN240;KMN241;KMN242;KMN243	TNF-alpha Receptor-associated Periodic Syndrome;Mycobacteria Susceptibility;Eosinophilia;Neutropenia;Polycythemia;Congenital Methemoglobinemia;Congenital neutropenia;Leukocyte Adhesion Deficiency Type 1;Leukocyte Adhesion Deficiency Type 2;Leukocyte Adhesion Deficiency Type 3
