	ENTRY	KEGG_disease_name	KEGG_synosyms	ICD-10	header	float	ICD_mid_class	KMN_candidate_IDs	KMN_candidate_Names
71	H01473	Erythema nodosum leprosum	NO_DATA	A30.8	A	30.8	A30-A49	KMN3	Sepsis
11	H00034	Carcinoid	NO_DATA	C17	C	17.0	C15-C26	KMN16	Hereditary Nonpolyposis Colon Cancer
11	H00034	Carcinoid	NO_DATA	C17	C	17.0	C15-C26	KMN23	Pancreatic Endocrine Tumor
11	H00034	Carcinoid	NO_DATA	C17	C	17.0	C15-C26	KMN24	Nesidioblastosis of Pancreas
90	H01591	Gastrotintestinal stromal tumor	NO_DATA	C26	C	26.0	C15-C26	KMN16	Hereditary Nonpolyposis Colon Cancer
90	H01591	Gastrotintestinal stromal tumor	NO_DATA	C26	C	26.0	C15-C26	KMN23	Pancreatic Endocrine Tumor
90	H01591	Gastrotintestinal stromal tumor	NO_DATA	C26	C	26.0	C15-C26	KMN24	Nesidioblastosis of Pancreas
12	H00040	Squamous cell carcinoma	NO_DATA	C44	C	44.0	C43-C44	KMN36	Cutaneous Squamous Cell Carcinoma
12	H00040	Squamous cell carcinoma	NO_DATA	C44	C	44.0	C43-C44	KMN37	Dermatofibrosarcoma Protuberans
6	H00015	Malignant pleural mesothelioma	NO_DATA	C45	C	45.0	C45-C49	KMN41	Hemangiopericytoma
6	H00015	Malignant pleural mesothelioma	NO_DATA	C45	C	45.0	C45-C49	KMN42	Liposarcoma
6	H00015	Malignant pleural mesothelioma	NO_DATA	C45	C	45.0	C45-C49	KMN43	Mesothelioma
6	H00015	Malignant pleural mesothelioma	NO_DATA	C45	C	45.0	C45-C49	KMN44	Soft Tissue Sarcoma
6	H00015	Malignant pleural mesothelioma	NO_DATA	C45	C	45.0	C45-C49	KMN46	Peripheral Nerve Sheath Tumors
137	H01665	Primary peritoneal carcinoma	NO_DATA	C48.1	C	48.1	C45-C49	KMN41	Hemangiopericytoma
137	H01665	Primary peritoneal carcinoma	NO_DATA	C48.1	C	48.1	C45-C49	KMN42	Liposarcoma
137	H01665	Primary peritoneal carcinoma	NO_DATA	C48.1	C	48.1	C45-C49	KMN43	Mesothelioma
137	H01665	Primary peritoneal carcinoma	NO_DATA	C48.1	C	48.1	C45-C49	KMN44	Soft Tissue Sarcoma
137	H01665	Primary peritoneal carcinoma	NO_DATA	C48.1	C	48.1	C45-C49	KMN46	Peripheral Nerve Sheath Tumors
8	H00029	Vulvar cancer	NO_DATA	C51	C	51.0	C51-C58	KMN48	Sertoli Cell Tumor
8	H00029	Vulvar cancer	NO_DATA	C51	C	51.0	C51-C58	KMN49	Leydig Cell Tumor
8	H00029	Vulvar cancer	NO_DATA	C51	C	51.0	C51-C58	KMN51	Cervix Cancer
8	H00029	Vulvar cancer	NO_DATA	C51	C	51.0	C51-C58	KMN52	Carcinoma of the Fallopian Tube
9	H00030	Cervical cancer	NO_DATA	C53	C	53.0	C51-C58	KMN48	Sertoli Cell Tumor
9	H00030	Cervical cancer	NO_DATA	C53	C	53.0	C51-C58	KMN49	Leydig Cell Tumor
9	H00030	Cervical cancer	NO_DATA	C53	C	53.0	C51-C58	KMN51	Cervix Cancer
9	H00030	Cervical cancer	NO_DATA	C53	C	53.0	C51-C58	KMN52	Carcinoma of the Fallopian Tube
80	H01554	Fallopian tube cancer	NO_DATA	C57.0	C	57.0	C51-C58	KMN48	Sertoli Cell Tumor
80	H01554	Fallopian tube cancer	NO_DATA	C57.0	C	57.0	C51-C58	KMN49	Leydig Cell Tumor
80	H01554	Fallopian tube cancer	NO_DATA	C57.0	C	57.0	C51-C58	KMN51	Cervix Cancer
80	H01554	Fallopian tube cancer	NO_DATA	C57.0	C	57.0	C51-C58	KMN52	Carcinoma of the Fallopian Tube
