	ENTRY	KEGG_disease_name	KEGG_synosyms	ICD-10	header	float	ICD_mid_class	KMN_candidate_IDs	KMN_candidate_Names	KMN_ICD10
71	H01473	Erythema nodosum leprosum	NO_DATA	A30.8	A	30.8	A30-A49	KMN3	Sepsis	NO_DATA
11	H00034	Carcinoid	NO_DATA	C17	C	17.0	C15-C26	KMN16	Hereditary Nonpolyposis Colon Cancer	NO_DATA
11	H00034	Carcinoid	NO_DATA	C17	C	17.0	C15-C26	KMN23	Pancreatic Endocrine Tumor	NO_DATA
11	H00034	Carcinoid	NO_DATA	C17	C	17.0	C15-C26	KMN24	Nesidioblastosis of Pancreas	NO_DATA
90	H01591	Gastrotintestinal stromal tumor	NO_DATA	C26	C	26.0	C15-C26	KMN16	Hereditary Nonpolyposis Colon Cancer	NO_DATA
90	H01591	Gastrotintestinal stromal tumor	NO_DATA	C26	C	26.0	C15-C26	KMN23	Pancreatic Endocrine Tumor	NO_DATA
90	H01591	Gastrotintestinal stromal tumor	NO_DATA	C26	C	26.0	C15-C26	KMN24	Nesidioblastosis of Pancreas	NO_DATA
12	H00040	Squamous cell carcinoma	NO_DATA	C44	C	44.0	C43-C44	KMN36	Cutaneous Squamous Cell Carcinoma	NO_DATA
12	H00040	Squamous cell carcinoma	NO_DATA	C44	C	44.0	C43-C44	KMN37	Dermatofibrosarcoma Protuberans	NO_DATA
6	H00015	Malignant pleural mesothelioma	NO_DATA	C45	C	45.0	C45-C49	KMN41	Hemangiopericytoma	NO_DATA
6	H00015	Malignant pleural mesothelioma	NO_DATA	C45	C	45.0	C45-C49	KMN42	Liposarcoma	NO_DATA
6	H00015	Malignant pleural mesothelioma	NO_DATA	C45	C	45.0	C45-C49	KMN43	Mesothelioma	C45
6	H00015	Malignant pleural mesothelioma	NO_DATA	C45	C	45.0	C45-C49	KMN44	Soft Tissue Sarcoma	NO_DATA
6	H00015	Malignant pleural mesothelioma	NO_DATA	C45	C	45.0	C45-C49	KMN46	Peripheral Nerve Sheath Tumors	NO_DATA
137	H01665	Primary peritoneal carcinoma	NO_DATA	C48.1	C	48.1	C45-C49	KMN41	Hemangiopericytoma	NO_DATA
137	H01665	Primary peritoneal carcinoma	NO_DATA	C48.1	C	48.1	C45-C49	KMN42	Liposarcoma	NO_DATA
137	H01665	Primary peritoneal carcinoma	NO_DATA	C48.1	C	48.1	C45-C49	KMN43	Mesothelioma	C45
137	H01665	Primary peritoneal carcinoma	NO_DATA	C48.1	C	48.1	C45-C49	KMN44	Soft Tissue Sarcoma	NO_DATA
137	H01665	Primary peritoneal carcinoma	NO_DATA	C48.1	C	48.1	C45-C49	KMN46	Peripheral Nerve Sheath Tumors	NO_DATA
8	H00029	Vulvar cancer	NO_DATA	C51	C	51.0	C51-C58	KMN48	Sertoli Cell Tumor	NO_DATA
8	H00029	Vulvar cancer	NO_DATA	C51	C	51.0	C51-C58	KMN49	Leydig Cell Tumor	NO_DATA
8	H00029	Vulvar cancer	NO_DATA	C51	C	51.0	C51-C58	KMN51	Cervix Cancer	NO_DATA
8	H00029	Vulvar cancer	NO_DATA	C51	C	51.0	C51-C58	KMN52	Carcinoma of the Fallopian Tube	NO_DATA
9	H00030	Cervical cancer	NO_DATA	C53	C	53.0	C51-C58	KMN48	Sertoli Cell Tumor	NO_DATA
9	H00030	Cervical cancer	NO_DATA	C53	C	53.0	C51-C58	KMN49	Leydig Cell Tumor	NO_DATA
9	H00030	Cervical cancer	NO_DATA	C53	C	53.0	C51-C58	KMN51	Cervix Cancer	NO_DATA
9	H00030	Cervical cancer	NO_DATA	C53	C	53.0	C51-C58	KMN52	Carcinoma of the Fallopian Tube	NO_DATA
80	H01554	Fallopian tube cancer	NO_DATA	C57.0	C	57.0	C51-C58	KMN48	Sertoli Cell Tumor	NO_DATA
80	H01554	Fallopian tube cancer	NO_DATA	C57.0	C	57.0	C51-C58	KMN49	Leydig Cell Tumor	NO_DATA
80	H01554	Fallopian tube cancer	NO_DATA	C57.0	C	57.0	C51-C58	KMN51	Cervix Cancer	NO_DATA
80	H01554	Fallopian tube cancer	NO_DATA	C57.0	C	57.0	C51-C58	KMN52	Carcinoma of the Fallopian Tube	NO_DATA
7	H00023	Testicular cancer	NO_DATA	C62	C	62.0	C60-C63	KMN55	Seminoma	NO_DATA
7	H00023	Testicular cancer	NO_DATA	C62	C	62.0	C60-C63	KMN57	Nonseminoma	NO_DATA
10	H00032	Thyroid cancer	NO_DATA	C73	C	73.0	C73-C75	KMN75	Thyroid Neoplasia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN86	B-cell Lymphoma	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN87	B-cell Chronic Lymphocytic Leukaemia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN88	MALT Lymphoma	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN89	POEMS Syndrome	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN90	T-cell Acute Lymphoid Leukemia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN91	Diffuse Large-Cell Lymphoma	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN92	Diffuse Large B-cell Lymphoma	C83.3
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN93	alpha Heavy Chain Disease	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN94	gamma Heavy Chain Disease	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN96	Sezary Syndrome	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN98	Plasma-cell Leukaemia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN100	Mantle-cell Lymphoma	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN101	mu Heavy Chain Disease	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN103	Waldenstrom's Macroglobulinemia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN104	Acute Lymphoid Leukemia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN106	Minimally Differentiated Leukemia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN107	Myeloblastic Leukemia without Maturation	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN108	Myeloblastic Leukemia with Maturation	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN109	Hypergranular Promyelocytic Leukemia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN110	Myelomonocytic Leukemia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN111	Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN112	Erythroleukemia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN113	Megakaryoblastic leukemia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN115	Nodular Lymphocyte-Predominant Hodgkin's Lymphoma	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN116	Primary Effusion Lymphoma	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN117	Classical Hodgkin's Lymphoma	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN118	Adult T Cell Lymphoma/Leukemia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN119	Primary Testicular Lymphoma	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN120	Precursor B Cell Acute Lymphoid Leukemia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN121	Precursor T cell Lymphoblastic Lymphoma	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN123	Monocytic Leukemia	C93
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN124	Cutaneous T cell Lymphoma	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN127	Chronic Myelogenous Leukemia	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN128	Anaplastic Large T-cell Lymphoma	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN129	Immunoblastic lymphoma	NO_DATA
0	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C83.5	C	83.5	C81-C96	KMN130	Immunoproliferative Small Intestinal Disease	C88.3
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN86	B-cell Lymphoma	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN87	B-cell Chronic Lymphocytic Leukaemia	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN88	MALT Lymphoma	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN89	POEMS Syndrome	NO_DATA
1	H00001	B-cell acute lymphoblastic leukemia	B-cell acute lymphocytic leukemia	C91.0	C	91.0	C81-C96	KMN90	T-cell Acute Lymphoid Leukemia	NO_DATA
