KMN_candidate_IDs	KMN_candidate_Names	ICDclass	KMN_ICD10
KMN3	Sepsis	A30-A49	NO_DATA
KMN16	Hereditary Nonpolyposis Colon Cancer	C15-C26	NO_DATA
KMN23	Pancreatic Endocrine Tumor	C15-C26	NO_DATA
KMN24	Nesidioblastosis of Pancreas	C15-C26	NO_DATA
KMN36	Cutaneous Squamous Cell Carcinoma	C43-C44	NO_DATA
KMN37	Dermatofibrosarcoma Protuberans	C43-C44	NO_DATA
KMN41	Hemangiopericytoma	C45-C49	NO_DATA
KMN42	Liposarcoma	C45-C49	NO_DATA
KMN43	Mesothelioma	C45-C49	C45
KMN44	Soft Tissue Sarcoma	C45-C49	NO_DATA
KMN46	Peripheral Nerve Sheath Tumors	C45-C49	NO_DATA
KMN48	Sertoli Cell Tumor	C51-C58	NO_DATA
KMN49	Leydig Cell Tumor	C51-C58	NO_DATA
KMN51	Cervix Cancer	C51-C58	NO_DATA
KMN52	Carcinoma of the Fallopian Tube	C51-C58	NO_DATA
KMN55	Seminoma	C60-C63	NO_DATA
KMN57	Nonseminoma	C60-C63	NO_DATA
KMN75	Thyroid Neoplasia	C73-C75	NO_DATA
KMN86	B-cell Lymphoma	C81-C96	NO_DATA
KMN87	B-cell Chronic Lymphocytic Leukaemia	C81-C96	NO_DATA
KMN88	MALT Lymphoma	C81-C96	NO_DATA
KMN89	POEMS Syndrome	C81-C96	NO_DATA
KMN90	T-cell Acute Lymphoid Leukemia	C81-C96	NO_DATA
KMN91	Diffuse Large-Cell Lymphoma	C81-C96	NO_DATA
KMN92	Diffuse Large B-cell Lymphoma	C81-C96	C83.3
KMN93	alpha Heavy Chain Disease	C81-C96	NO_DATA
KMN94	gamma Heavy Chain Disease	C81-C96	NO_DATA
KMN96	Sezary Syndrome	C81-C96	NO_DATA
KMN98	Plasma-cell Leukaemia	C81-C96	NO_DATA
KMN100	Mantle-cell Lymphoma	C81-C96	NO_DATA
KMN101	mu Heavy Chain Disease	C81-C96	NO_DATA
KMN103	Waldenstrom's Macroglobulinemia	C81-C96	NO_DATA
KMN104	Acute Lymphoid Leukemia	C81-C96	NO_DATA
KMN106	Minimally Differentiated Leukemia	C81-C96	NO_DATA
KMN107	Myeloblastic Leukemia without Maturation	C81-C96	NO_DATA
KMN108	Myeloblastic Leukemia with Maturation	C81-C96	NO_DATA
KMN109	Hypergranular Promyelocytic Leukemia	C81-C96	NO_DATA
KMN110	Myelomonocytic Leukemia	C81-C96	NO_DATA
KMN111	Myelomonocytic Leukemia Variant: Increase in Abnormal Marrow Eosinophils	C81-C96	NO_DATA
KMN112	Erythroleukemia	C81-C96	NO_DATA
KMN113	Megakaryoblastic leukemia	C81-C96	NO_DATA
KMN115	Nodular Lymphocyte-Predominant Hodgkin's Lymphoma	C81-C96	NO_DATA
KMN116	Primary Effusion Lymphoma	C81-C96	NO_DATA
KMN117	Classical Hodgkin's Lymphoma	C81-C96	NO_DATA
KMN118	Adult T Cell Lymphoma/Leukemia	C81-C96	NO_DATA
KMN119	Primary Testicular Lymphoma	C81-C96	NO_DATA
KMN120	Precursor B Cell Acute Lymphoid Leukemia	C81-C96	NO_DATA
KMN121	Precursor T cell Lymphoblastic Lymphoma	C81-C96	NO_DATA
KMN123	Monocytic Leukemia	C81-C96	C93
KMN124	Cutaneous T cell Lymphoma	C81-C96	NO_DATA
KMN127	Chronic Myelogenous Leukemia	C81-C96	NO_DATA
KMN128	Anaplastic Large T-cell Lymphoma	C81-C96	NO_DATA
KMN129	Immunoblastic lymphoma	C81-C96	NO_DATA
KMN130	Immunoproliferative Small Intestinal Disease	C81-C96	C88.3
KMN134	Vipoma	D10-D36	NO_DATA
KMN135	Insulinoma	D10-D36	NO_DATA
KMN137	Glucagonoma	D10-D36	NO_DATA
KMN138	Somatostatinoma Syndrome	D10-D36	NO_DATA
KMN140	Pheochromocytoma	D10-D36	NO_DATA
KMN141	TSH-Secreting Adenomas	D10-D36	NO_DATA
KMN142	Osteochondroma	D10-D36	NO_DATA
KMN143	Lipoma	D10-D36	NO_DATA
KMN144	Hypothalamic Gangliocytoma	D10-D36	NO_DATA
KMN145	Dysplastic gangliocytoma of cerebellum	D10-D36	NO_DATA
KMN146	Schwannoma	D10-D36	NO_DATA
KMN147	Neuroendocrine Tumor	D10-D36	NO_DATA
KMN148	Gonadotropin-Producing Pituitary Adenoma	D10-D36	NO_DATA
KMN149	Polyposis Coli	D10-D36	NO_DATA
KMN150	Myxoma	D10-D36	NO_DATA
KMN151	Pulmonary Lymphangioleiomyomatosis	D10-D36	NO_DATA
KMN152	Leiomyoma	D10-D36	NO_DATA
KMN154	Gastrinoma	D37-D48	NO_DATA
KMN157	Pituitary Tumor	D37-D48	NO_DATA
KMN158	Familial Paraganglioma Syndrome	D37-D48	NO_DATA
KMN159	Teratoma	D37-D48	NO_DATA
KMN160	Hemangioblastoma	D37-D48	NO_DATA
KMN161	Goiter	D37-D48	NO_DATA
KMN164	GIST	D37-D48	NO_DATA
KMN166	Meningiomas	D37-D48	NO_DATA
KMN167	Desmoplastic Small Round-cell Tumor	D37-D48	NO_DATA
KMN168	Adenoid-cystic carcinoma	D37-D48	NO_DATA
KMN169	Multiple Endocrine Neoplasia Type 1	D37-D48	NO_DATA
KMN170	Multiple Endocrine Neoplasia Type 2	D37-D48	NO_DATA
KMN171	Craniopharyngioma	D37-D48	NO_DATA
KMN172	Soft Tissue Tumor	D37-D48	NO_DATA
KMN173	Brain Tumor	D37-D48	NO_DATA
KMN174	Refractory anemia	D37-D48	NO_DATA
KMN175	Juxtaglomerular Cell Tumor	D37-D48	NO_DATA
KMN176	Chronic Idiopathic Myelofibrosis	D37-D48	NO_DATA
KMN177	Epithelioid Hemangioendothelioma	D37-D48	NO_DATA
KMN179	Granulosa Cell Tumor	D37-D48	NO_DATA
KMN184	alpha-Thalassemia Syndrome	D55-D59	NO_DATA
KMN185	G6PD Deficiency	D55-D59	NO_DATA
KMN186	beta-Thalassemia Syndrome	D55-D59	NO_DATA
KMN191	Sickle Cell Syndrome	D55-D59	NO_DATA
KMN192	High oxygen affinity hemoglobin erythremia	D55-D59	NO_DATA
KMN193	Congenital hemolytic anemia	D55-D59	NO_DATA
KMN195	Immune Hemolysis	D55-D59	NO_DATA
KMN196	Spur Cell Anemia	D55-D59	NO_DATA
KMN197	X-Linked Sideroblastic Anemia	D60-D64	NO_DATA
KMN199	Hereditary sideroblastic anemia	D60-D64	D64.0
KMN200	Anaplastic anemia	D60-D64	NO_DATA
KMN201	Idiopathic sideroblastic anemia	D60-D64	NO_DATA
KMN202	Alpha2 Plasmin Inhibitor Deficiency	D65-D69	NO_DATA
KMN203	Antithrombin Deficiency	D65-D69	NO_DATA
KMN205	Glanzmann's Disease	D65-D69	NO_DATA
KMN207	Dysfibrinogenemia	D65-D69	NO_DATA
