ENTRY,Name,MeSH,OMIM,ICD-10,ICD-11,MedlinePlus,Alias_Name,Pathway,Gene_symbol,kegg_geneID,Drug_name,kegg_drugID
H00001,B-cell acute lymphoblastic leukemia,D054198,NA,C83.5;C91.0,2A70,NA,B-cell acute lymphocytic leukemia,NA,BCR-ABL;MLL-AF4;E2A-PBX1;TEL-AML1;c-MYC;CRLF2;PAX5,25;4297 4299;6929 5087;861;4609;64109;5079,Cyclophosphamide;Methotrexate;Mercaptopurine;Clofarabine;Vincristine sulfate;Teniposide;Doxorubicin hydrochloride;Daunorubicin hydrochloride;Mitoxantrone hydrochloride;Imatinib mesylate;Dasatinib;Ponatinib hydrochloride;Blinatumomab;Inotuzumab ozogamicin;Asparaginase;Pegaspargase;Tisagenlecleucel-T;Enocitabine;Calaspargase pegol,D00287;D00142;D00161;D03546;D02197;D02698;D01275;D01264;D02166;D01441;D06414;D09951;D09325;D08933;D02997;D05387;D11386;D01633;D10096
H00002,T-cell acute lymphoblastic leukemia,D054218,NA,C83.5;C91.0,2A71,NA,T-cell acute lymphocytic leukemia,NA,NOTCH1;TAL1;LYL1;MLL-ENL;HOX11;MYC;LMO2;HOX11L2;PICALM-MLLT10,4851;6886;4066;4297;3195;4609;4005;30012;8028,Cyclophosphamide;Methotrexate;Mercaptopurine;Clofarabine;Nelarabine;Vincristine sulfate;Teniposide;Doxorubicin hydrochloride;Daunorubicin hydrochloride;Mitoxantrone hydrochloride;Asparaginase;Pegaspargase;Enocitabine;Calaspargase pegol,D00287;D00142;D00161;D03546;D05134;D02197;D02698;D01275;D01264;D02166;D02997;D05387;D01633;D10096
H00003,Acute myeloid leukemia,D015470,NA,C92.0,2A60,NA,NA,hsa05221  Acute myeloid leukemia,FLT3;c-KIT;N-ras;K-ras;PML-RARalpha;AML1-ETO;PLZF-RARalpha;AML1;C/EBPalpha;PU.1,2322;3815;4893;3845;5371;861;7704;861;1050;6688,Cyclophosphamide;Thioguanine;Cytarabine;Doxorubicin hydrochloride;Daunorubicin hydrochloride;Idarubicin hydrochloride;Mitoxantrone hydrochloride;Midostaurin;Gilteritinib fumarate;Gemtuzumab ozogamicin;Glasdegib maleate;Arsenic trioxide;Venetoclax;Enasidenib mesylate;Ivosidenib;Daunorubicin and cytarabine;Sargramostim;Enocitabine,D00287;D06109;D00168;D01275;D01264;D01747;D02166;D05029;D10800;D03259;D11107;D02106;D10679;D11044;D11090;D11390;D05803;D01633
H00004,Chronic myeloid leukemia,D015464,NA,C92.1,2A20.0,NA,NA,hsa05220  Chronic myeloid leukemia,BCR-ABL;EVI1;AML1;p16/INK4A;p53;RB1,25;2122;861;1029;7157;5925,Busulfan;Thioguanine;Cytarabine;Imatinib mesylate;Dasatinib;Nilotinib hydrochloride hydrate;Bosutinib hydrate;Ponatinib hydrochloride;Hydroxyurea;Omacetaxine mepesuccinate;Sodium phosphate P 32,D00248;D06109;D00168;D01441;D06414;D06413;D09728;D09951;D00341;D08956;D05870
H00005,Chronic lymphocytic leukemia,D015451,NA,C91.1,2A82.0,NA,NA,NA,Bcl-2;p53;ATM;Fas,596;7157;472;355,Cyclophosphamide;Chlorambucil;Bendamustine hydrochloride;Fludarabine phosphate;Ibrutinib;Acalabrutinib;Idelalisib;Duvelisib;Rituximab;Ofatumumab;Obinutuzumab;Venetoclax;Alemtuzumab;Sodium phosphate P 32;Ibritumomab tiuxetan;Rituximab and hyaluronidase,D00287;D00266;D07085;D01907;D10223;D10893;D10560;D10555;D02994;D09314;D09321;D10679;D02802;D05870;D04489;D11393
H00006,Hairy cell leukemia,D007943,NA,C91.4,2A82.2,NA,NA,NA,p53;Bcl-6;Cyclin D1,7157;604;595,Cladribine;Moxetumomab pasudotox;Pentostatin;Interferon alfa-2b,D01370;D09932;D00155;D02745
H00007,Hodgkin lymphoma,D006689,NA,C81,2B30,NA,NA,NA,IKBA;IKBE;c-rel;CD95,4792;4794;5966;355,Cyclophosphamide;Chlorambucil;Carmustine;Lomustine;Dacarbazine;Vinblastine sulfate;Vincristine sulfate;Doxorubicin hydrochloride;Bleomycin sulfate;Procarbazine hydrochloride;Brentuximab vedotin;Nivolumab;Pembrolizumab,D00287;D00266;D00254;D00363;D00288;D01068;D02197;D01275;D02177;D00478;D09587;D10316;D10574
H00008,Burkitt lymphoma,D002051,NA,C83.7,2A85.6,NA,NA,NA,MYC-IgH;p53;p16/INK4A,4609;7157;1029,Cyclophosphamide,D00287
H00009,Adult T-cell leukemia,D015459,NA,C91.5,2A90.5,NA,NA,hsa05166  Human T-cell leukemia virus 1 infection,p53;p16/INK4A;Fas,7157;1029;355,NA,NA
H00010,Multiple myeloma,D009101,NA,C90.0,2A83.1,NA,NA,NA,CCND1-IgH;CCND3-IgH;IgH-FGFR3;IgH-MMSET;IgH-MAF;N-ras;K-ras;c-MYC;p53,595;896;2261;7468;4094;4893;3845;4609;7157,Cyclophosphamide;Melphalan;Melphalan hydrochloride;Carmustine;Doxorubicin hydrochloride;Elotuzumab;Daratumumab;Isatuximab;Belantamab mafodotin;Bortezomib;Carfilzomib;Ixazomib citrate;Panobinostat lactate;Selinexor;Plerixafor;Thalidomide;Lenalidomide;Pomalidomide;Zoledronic acid;Denosumab;Idecabtagene vicleucel;Melphalan flufenamide hydrochloride;Daratumumab and hyaluronidase,D00287;D00369;D08173;D00254;D01275;D09337;D10777;D11050;D11595;D03150;D08880;D10131;D10019;D11222;D08971;D00754;D04687;D08976;D01968;D03684;D11556;D11870;D11967
H00011,Lymphoplasmacytic lymphoma,NA,NA,C83.8;C88.0,2A85.4,NA,NA,NA,Pax5-IgH,5079,Ibrutinib;Ibritumomab tiuxetan,D10223;D04489
H00012,Polycythemia vera,D011087,NA,D45,2A20.4,NA,NA,NA,JAK2,3717,Ruxolitinib phosphate;Sodium phosphate P 32,D09960;D05870
H00013,Small cell lung cancer,D055752,NA,C34,2C25.1,NA,NA,hsa05222  Small cell lung cancer,c-MYC;RAR-beta;FHIT;p53;RB1;PTEN;Bcl-2,4609;5915;2272;7157;5925;5728;596,Methotrexate sodium;Etoposide;Etoposide phosphate;Topotecan hydrochloride;Nivolumab;Pembrolizumab;Durvalumab;Atezolizumab;Lurbinectedin;Trilaciclib dihydrochloride,D02115;D00125;D04107;D02168;D10316;D10574;D10808;D10773;D11644;D11987
H00014,Non-small cell lung cancer,D002289,NA,C34,2C25.0;2C25.2;2C25.3,NA,NA,hsa05223  Non-small cell lung cancer,"K-ras;EGFR;RAR-beta;FHIT;RASSF1;p16/INK4A;p53;EML4-ALK;KIF5B-RET;CD74-ROS1,SLC34A2-ROS1;MET",3845;1956;5915;2272;11186;1029;7157;238;5979;6098;4233,Methotrexate sodium;Pemetrexed sodium hydrate;Gemcitabine hydrochloride;Vinorelbine tartrate;Paclitaxel;Docetaxel;Docetaxel;Gefitinib;Erlotinib hydrochloride;Afatinib dimaleate;Osimertinib mesylate;Dacomitinib;Dabrafenib mesylate;Crizotinib;Ceritinib;Alectinib hydrochloride;Brigatinib;Lorlatinib;Trametinib dimethyl sulfoxide;Entrectinib;Capmatinib hydrochloride;Tepotinib hydrochloride;Bevacizumab;Nivolumab;Pembrolizumab;Ramucirumab;Necitumumab;Durvalumab;Atezolizumab;Cemiplimab;Pralsetinib;Selpercatinib,D02115;D06503;D01155;D01935;D00491;D07866;D02165;D01977;D04023;D09733;D10766;D10514;D10104;D09731;D10551;D10450;D10866;D11012;D10176;D10926;D10891;D11073;D06409;D10316;D10574;D09371;D10018;D10808;D10773;D11108;D11712;D11713
H00015,Malignant pleural mesothelioma,D008654,NA,C45,2C26,NA,NA,NA,p53;p16/CDKN2A;p15/CDKN2B;NF2;PDGF-A;PDGF-B;IGF-1;IGF-R1,7157;1029;1030;4771;5154;5155;3479;3480,Pemetrexed sodium hydrate,D06503
H00016,Oral cancer,D009062,NA,C00;C01;C02;C03;C04;C05;C06,2B60;2B61;2B62;2B63;2B64;2B65;2B66,NA,NA,NA,p53;p16/INK4A;EGFR;c-myc/N-myc;N-ras;K-ras;Cyclin D1;STAT-3,7157;1029;1956;4609;4893;3845;595;6774,NA,NA
H00017,Esophageal cancer,D004938,NA,C15,2B70,NA,NA,NA,EGFR;p53;p16/INK4A;RB1;iNOS;COX2;APC;Cyclin D1;FAS,1956;7157;1029;5925;4843;5743;324;595;355,Floxuridine;Pembrolizumab;Porfimer sodium,D04197;D10574;D03327
H00018,Gastric cancer,D013274,NA,C16,2B72.0,NA,NA,hsa05226  Gastric cancer,CDX2;p53;RARB;APC;CTNNB1;TERT;ERBB2;KRAS;NRAS;MLH1;CDKN1B;CCNE1;TGFBR1;CDH1;MET;FGFR2,1045;7157;5915;324;1499;7015;2064;3845;4893;4292;1027;898;7046;999;4233;2263,Floxuridine;Trifluridine and tipiracil hydrochloride;Docetaxel;Docetaxel;Doxorubicin hydrochloride;Mitomycin;Trastuzumab;Pembrolizumab;Ramucirumab,D04197;D10526;D07866;D02165;D01275;D00208;D03257;D10574;D09371
H00019,Pancreatic cancer,D010190,NA,C25,2C10.0,NA,NA,hsa05212  Pancreatic cancer,K-ras;ERBB2;p16/INK4A;p53;SMAD4;BRCA2;STK11,3845;2064;1029;7157;4089;675;6794,Gemcitabine hydrochloride;Floxuridine;Paclitaxel;Irinotecan hydrochloride;Mitomycin;Erlotinib hydrochloride;Olaparib,D01155;D04197;D00491;D01061;D00208;D04023;D09730
H00020,Colorectal cancer,D015179,NA,C18;C19;C20,2B90;2B91;2B92,NA,NA,hsa05210  Colorectal cancer,"beta-Catenin;K-ras;APC , somatic mutation);DCC;TGF-betaRII;Smad2;Smad4;BAX;p53;MLH1 , LOH, promoter hypermethylation);MSH2 , LOH, somatic mutation);MSH3;MSH6 , LOH, somatic frameshift mutation);GALNT12;EGF;TGFA;EREG;AREG",1499;3845;10297;1630;7048;4087;4089;581;7157;4292;4436;4437;2956;79695;1950;7039;2069;374,Capecitabine;Floxuridine;Trifluridine and tipiracil hydrochloride;Irinotecan hydrochloride;Encorafenib;Regorafenib hydrate;Oxaliplatin;Cetuximab;Bevacizumab;Panitumumab;Nivolumab;Pembrolizumab;Ramucirumab;Aflibercept;Leucovorin calcium;Levoleucovorin calcium;Calcium levofolinate hydrate;Sodium levofolinate,D01223;D04197;D10526;D01061;D11053;D10137;D01790;D03455;D06409;D05350;D10316;D10574;D09371;D09574;D01211;D04715;D11555;D11394
H00021,Renal cell carcinoma,D002292,NA,C64,2C90.0,NA,NA,hsa05211  Renal cell carcinoma,"VHL , somatic mutation);Met , somatic activating mutation);FH , LOH, somatic mutation);BHD );PRCC-TFE3",7428;4233;2271;201163;7030,Medroxyprogesterone acetate;Temsirolimus;Everolimus;Axitinib;Tivozanib hydrochloride;Sunitinib malate;Sorafenib tosylate;Pazopanib hydrochloride;Cabozantinib s-malate;Lenvatinib mesylate;Bevacizumab;Ipilimumab;Nivolumab;Pembrolizumab;Avelumab;Aldesleukin,D00951;D06068;D02714;D03218;D10190;D06402;D06272;D05380;D10095;D09920;D06409;D04603;D10316;D10574;D10817;D00748
H00022,Bladder cancer,D001749,NA,C67,2C94.2,NA,NA,hsa05219  Bladder cancer,H-ras;FGFR3;p16/INK4A;p53;RB1;EGFR;ERBB2;RASSF1;DAPK1,3265;2261;1029;7157;5925;1956;2064;11186;1612,Thiotepa;Doxorubicin hydrochloride;Valrubicin;Mitomycin;Erdafitinib;Cisplatin;Nivolumab;Pembrolizumab;Avelumab;Atezolizumab;Enfortumab vedotin,D00583;D01275;D02697;D00208;D10927;D00275;D10316;D10574;D10817;D10773;D11525
H00023,Testicular cancer,D013736,NA,C62,2C80,NA,NA,NA,Cyclin D2,894,Ifosfamide;Vinblastine sulfate;Etoposide;Etoposide phosphate;Dactinomycin;Bleomycin sulfate;Cisplatin,D00343;D01068;D00125;D04107;D00214;D02177;D00275
H00024,Prostate cancer,NA,NA,C61,2C82,NA,NA,hsa05215  Prostate cancer,AR;CDKN1B;NKX3.1;PTEN;GSTP1;TMPRSS2-ERG;TMPRSS2-ETV1;TMPRSS2-ETV4;TMPRSS2-ETV5;SLC45A3-ETV1;SLC45A3-ELK4;DDX5-ETV4,367;1027;4824;5728;2950;2078;2115;2118;2119;2115;2005;2118,"Estradiol valerate;Docetaxel;Docetaxel;Cabazitaxel acetonate;Mitoxantrone hydrochloride;Olaparib;Estramustine phosphate sodium;Estramustine phosphate sodium hydrate;Leuprolide acetate;Goserelin acetate;Triptorelin pamoate;Histrelin acetate;Flutamide;Nilutamide;Bicalutamide;Enzalutamide;Apalutamide;Darolutamide;Degarelix acetate;Abiraterone acetate;Sipuleucel-T;Radium Ra 223 dichloride;Estrogens, esterified;Relugolix",D01413;D07866;D02165;D10452;D02166;D09730;D02398;D06397;D00989;D00573;D06248;D02116;D00586;D00965;D00961;D10218;D11040;D11045;D09400;D09701;D06644;D10398;D04071;D10888
H00025,Penile cancer,D010412,NA,C60,2C81,NA,NA,NA,p16/INK4a;BMI1;p53;MDM2;H-ras;c-MYC;E-Cadherin;MMP-2;MMP-9;COX-2;PTGES2,1029;648;7157;4193;3265;4609;999;4313;4318;5743;80142,NA,NA
H00026,Endometrial cancer,D016889,NA,C54,2C76,NA,NA,hsa05213  Endometrial cancer,K-ras;beta-Catenin;ERBB2;PTEN;p53;MLH1,3845;1499;2064;5728;7157;4292,Medroxyprogesterone acetate;Lenvatinib mesylate;Pembrolizumab,D00951;D09920;D10574
H00027,Ovarian cancer,D010051,NA,C56,2C73,NA,NA,NA,BRCA1;BRCA2;MSH2;MLH1;ERBB2;K-ras;AKT2;PIK3CA;c-MYC;p53,672;675;4436;4292;2064;3845;208;5290;4609;7157,Cyclophosphamide;Melphalan;Thiotepa;Gemcitabine hydrochloride;Paclitaxel;Topotecan hydrochloride;Doxorubicin hydrochloride;Cisplatin;Carboplatin;Bevacizumab;Olaparib;Niraparib tosilate hydrate;Rucaparib camsylate;Altretamine,D00287;D00369;D00583;D01155;D00491;D02168;D01275;D00275;D01363;D06409;D09730;D11895;D10982;D02841
H00028,Choriocarcinoma,D002822,NA,C58,2C75,NA,NA,NA,p53;MdM2;EGFR;c-MYC;ERBB2;c-FMS;Bcl-2;MMP-1;MMP-2,7157;4193;1956;4609;2064;1436;596;4312;4313,Methotrexate sodium;Vinblastine sulfate;Bleomycin sulfate,D02115;D01068;D02177
H00029,Vulvar cancer,D014846,NA,C51,2C70,NA,NA,NA,PTEN;p53,5728;7157,Imiquimod;Recombinant adsorbed quadrivalent human papillomavirus virus-like particle vaccine,D02500;D10192
H00030,Cervical cancer,D002583,NA,C53,2C77,NA,NA,NA,K-ras;H-ras;EGFR;ERBB2;p21;CDK4;Bcl-2,3845;3265;1956;2064;1026;1019;596,Recombinant adsorbed quadrivalent human papillomavirus virus-like particle vaccine;Topotecan hydrochloride;Bevacizumab;Pembrolizumab,D10192;D02168;D06409;D10574
H00031,Breast cancer,D001943,NA,C50,2C61,NA,NA,hsa05224  Breast cancer,ESR1;FGFR1;PIK3CA;PTEN;p53;CCND1;ERBB2;EGFR;KIT;Notch1;Notch4;FZD7;LRP6;BRCA1;BRCA2,2099;2260;5290;5728;7157;595;2064;1956;3815;4851;4855;8324;4040;672;675,"Fluoxymesterone;Methyltestosterone;Testosterone enanthate;Cyclophosphamide;Thiotepa;Methotrexate sodium;Gemcitabine hydrochloride;Capecitabine;Vinblastine sulfate;Paclitaxel;Docetaxel;Docetaxel;Doxorubicin hydrochloride;Epirubicin hydrochloride;Ixabepilone;Palbociclib;Ribociclib succinate;Abemaciclib;Everolimus;Lapatinib ditosylate;Neratinib maleate;Tucatinib;Alpelisib;Trastuzumab;Pertuzumab;Trastuzumab emtansine;Pembrolizumab;Atezolizumab;Trastuzumab deruxtecan;Olaparib;Talazoparib tosylate;Eribulin mesylate;Pertuzumab, trastuzumab and hyaluronidase;Goserelin acetate;Tamoxifen citrate;Toremifene citrate;Fulvestrant;Anastrozole;Letrozole;Exemestane;Estrogens, esterified;Margetuximab;Sacituzumab govitecan;Letrozole and ribociclib;Trastuzumab and hyaluronidase",D00327;D00408;D00958;D00287;D00583;D02115;D01155;D01223;D01068;D00491;D07866;D02165;D01275;D02214;D04645;D10372;D10979;D10688;D02714;D04024;D10898;D11141;D11011;D03257;D05446;D09980;D10574;D10773;D11529;D09730;D10733;D08914;D11934;D00573;D00966;D00967;D01161;D00960;D00964;D00963;D04071;D10446;D10985;D11068;D11560
H00032,Thyroid cancer,D013964,NA,C73,2D10,NA,NA,hsa05216  Thyroid cancer,RET/PTC1;RET/PTC3;TPM3/NTRK1;TPR/NTRK1;TFG/NTRK1;H-ras;K-ras;N-ras;BRAF;PAX8/PPARgamma;beta-Catenin;p53;E-cadherin;RET,5979 8030;5979 8031;4914 7170;7175 7170;10342 7170;3265;3845;4893;673;7849 5468;1499;7157;999;5979,Doxorubicin hydrochloride;Dabrafenib mesylate;Trametinib dimethyl sulfoxide;Sorafenib tosylate;Lenvatinib mesylate;Sodium iodide I 131;Thyroid;Selpercatinib,D01275;D10104;D10176;D06272;D09920;D02259;D06482;D11713
H00033,Adrenal carcinoma,D000306,NA,C74,2D11,NA,NA,NA,ACTH-R;GNAI2;N-ras;IGF II;p53;p16/INK4A;MEN1,4158;2771;4893;3481;7157;1028;4221,Mitotane,D00420
H00034,Carcinoid,D002276,NA,C17,2B80,NA,NA,NA,MEN1;SDHD,4221;6392,Telotristat ethyl;Octreotide acetate,D09974;D06495
H00035,Ewing sarcoma,D012512,NA,C41,2B52,NA,NA,NA,EWSR1-FLI1;EWSR1-ERG;EWSR1-ETV1;EWSR1-ETV4;EWSR1-FEV,2313;2078;2115;2118;54738,Dactinomycin,D00214
H00036,Osteosarcoma,D012516,NA,C41,2B51,NA,NA,NA,MDM2;SAS;p53;RB1;p16/INK4A;CDKN2B;c-MYC,4193;6302;7157;5925;1029;1030;4609,Leucovorin calcium;Levoleucovorin calcium;Calcium levofolinate hydrate;Sodium levofolinate,D01211;D04715;D11555;D11394
H00037,Rhabdomyosarcoma,D018232,NA,C49,2B55,NA,NA,NA,PAX3-FOXO1A;PAX7-FOXO1A;MDM2;ATR,2308;2308;4193;545,Vincristine sulfate;Dactinomycin,D02197;D00214
H00038,Melanoma,D008545,NA,C43,2C30,NA,NA,hsa05218  Melanoma,BRAF;NRAS;CDK4;MITF;PTEN;p16/INK4A;p53,673;4893;1019;4286;5728;1029;7157,Dacarbazine;Vemurafenib;Dabrafenib mesylate;Encorafenib;Trametinib dimethyl sulfoxide;Cobimetinib fumarate;Binimetinib;Ipilimumab;Nivolumab;Pembrolizumab;Talimogene laherparepvec;Interferon alfa-2b;Peginterferon alfa-2b;Aldesleukin,D00288;D09996;D10104;D11053;D10176;D10615;D10604;D04603;D10316;D10574;D09966;D02745;D02748;D00748
H00039,Basal cell carcinoma,D002280,NA,C44,2C32,NA,NA,hsa05217  Basal cell carcinoma,SHH;SMO;p53;PTCH,6469;6608;7157;5727,Fluorouracil;Cemiplimab;Vismodegib;Sonidegib phosphate,D00584;D11108;D09992;D10729
H00040,Squamous cell carcinoma,D002294,NA,C44,2C31,NA,NA,NA,p53;p16/INK4A;H-ras;K-ras,7157;1029;3265;3845,Bleomycin sulfate;Cemiplimab,D02177;D11108
H00041,Kaposi sarcoma,D012514,NA,C46,2B57,NA,NA,hsa05167  Kaposi sarcoma-associated herpesvirus infection,Bcl-2;c-MYC;c-INT;K-ras;p53,596;4609;2248;3845;7157,Alitretinoin;Vinblastine sulfate;Paclitaxel;Doxorubicin hydrochloride;Interferon alfa-2b,D02815;D01068;D00491;D01275;D02745
H00042,Glioma,D005910,NA,C71,2A00.0,NA,NA,hsa05214  Glioma,EGFR;MDM2;PTEN;p16/INK4A;PDGF-A;PDGF-B;PDGFR-alpha;PDGFR-beta;CDK4;p53;RB1,1956;4193;5728;1029;5154;5155;5156;5159;1019;7157;5925,Carmustine;Temozolomide;Bevacizumab;Aminolevulinic acid hydrochloride,D00254;D06067;D06409;D02908
H00043,Neuroblastoma,D009447,NA,C38;C47;C48;C72;C74;C76,2A02.1;2C20.3,NA,NA,NA,MYCN;TrkA;TrkB;TrkC,4613;4914;4915;4916,Cyclophosphamide;Vincristine sulfate;Doxorubicin hydrochloride;Naxitamab,D00287;D02197;D01275;D11416
H00044,Cancer of the anal canal,D001005,NA,C21,2C00,NA,NA,NA,p53;DCC;APC,7157;1630;324,Recombinant adsorbed quadrivalent human papillomavirus virus-like particle vaccine,D10192
H00045,Pancreatic neuroendocrine tumor,D018273,NA,C25.4,2C10.1,NA,NA,NA,MEN1;DAXX;ATRX,4221;1616;546,Lanreotide acetate;Streptozocin;Everolimus;Sunitinib malate;Lutetium  oxodotreotide,D04666;D05932;D02714;D06402;D11033
H00046,Cholangiocarcinoma,D018281,NA,C22,2C12.1,NA,NA,NA,K-ras;p53;c-Met;ERBB2;p16/INK4A;COX2,3845;7157;4233;2064;1029;5743,Pemigatinib,D11417
H00047,Gallbladder cancer,D005706,NA,C23,2C13,NA,NA,NA,p53;p16/INK4A;K-ras;APC,7157;1029;3845;324,NA,NA
H00048,Hepatocellular carcinoma,D006528,NA,C22,2C12.0,NA,Liver cancer,hsa05225  Hepatocellular carcinoma,TGFA;IGF2;IGF1R;MYC;RB1;TERT;TP53;p16;PTEN;TGFBR2;FZD7;CTNNB1;AXIN1;KEAP1;NFE2L2;HGF;MET;PIK3CA;ARID1A;ARID2,7039;3481;3480;4609;5925;7015;7157;1029;5728;7048;8324;1499;8312;9817;4780;3082;4233;5290;8289;196528,Sorafenib tosylate;Regorafenib hydrate;Cabozantinib s-malate;Lenvatinib mesylate;Ipilimumab;Nivolumab;Pembrolizumab;Ramucirumab;Atezolizumab,D06272;D10137;D10095;D09920;D04603;D10316;D10574;D09371;D10773
H00049,Myxoid liposarcoma,D018208,NA,C49,2B59,NA,NA,NA,FUS-DDIT3;EWSR1-DDIT3,1649;1649,NA,NA
H00050,Synovial sarcoma,D013584,NA,C49,2B5A,NA,NA,NA,SYT-SSX1;SYT-SSX2;IGF-IR,6756;6757;3480,NA,NA
H00051,Alveolar soft part sarcoma,D018234,NA,C49,2B5K,NA,NA,NA,ASPL-TFE3,7030,NA,NA
H00052,Clear cell sarcoma of soft tissue,D018227,NA,C49,2B5K,NA,NA,NA,EWSR1-ATF1,466,NA,NA
H00053,Extraskeletal myxoid chondrosarcoma,D002813,NA,C41,2B50,NA,NA,NA,EWSR1-NR4A3;TAF15-NR4A3,8013;8013,NA,NA
H00054,Nasopharyngeal cancer,D009303,NA,C11,2B6B,NA,NA,NA,RASSF1;p16/INK4A;Bcl-2;EDNRB;TSLC1;E-cadherin,11186;1029;596;1910;23705;999,NA,NA
H00055,Laryngeal cancer,D007822,NA,C32,2C23,NA,NA,NA,p53;p16/INK4A;Cyclin D1;EGFR;c-MYC;Cyclin E,7157;1029;595;1956;4609;898 9134,NA,NA
H00056,Alzheimer disease,D000544,104300;104310;607822;606889,G30,8A20,NA,Dementia due to Alzheimer disease,hsa05010  Alzheimer disease,APP;APOE;PSEN1;PSEN2,351;348;5663;5664,Donepezil hydrochloride;Rivastigmine;Rivastigmine tartrate;Galantamine hydrobromide;Memantine hydrochloride;Memantine and donepezil,D00670;D03822;D02558;D02173;D04905;D11387
H00057,Parkinson disease,D010300,168600;168601;605543;600116;605909;606324;607060;606693;607688;610297;612953;260300;614203;614251;615528;616710,G20,8A00.0,NA,NA,hsa05012  Parkinson disease,SNCA;Parkin;UCHL1;PINK1;DJ1;LRRK2;ATP13A2;GIGYF2;HTRA2;PLA2G6;FBXO7;VPS35;EIF4G1;DNAJC16;CHCHD2;NR4A2,6622;5071;7345;65018;11315;120892;23400;26058;27429;8398;25793;55737;1981;23341;51142;4929,"Droxidopa;Bromocriptine mesylate;Apomorphine hydrochloride;Levodopa;Carbidopa hydrate and levodopa;Carbidopa, levodopa and entacapone;Amantadine hydrochloride;Ropinirole hydrochloride;Pramipexole dihydrochloride;Rotigotine;Selegiline hydrochloride;Rasagiline mesylate;Safinamide mesylate;Tolcapone;Entacapone;Opicapone;Istradefylline;Pimavanserin tartrate;Carbidopa",D01277;D00780;D02004;D00059;D00253;D10293;D00777;D00784;D00559;D05768;D00785;D02562;D10191;D00786;D00781;D10825;D04641;D08969;D00558
H00058,Amyotrophic lateral sclerosis (ALS),D000690,105400;205100;602433;602099;608030;608627;611895;612069;612577;613435;613954;300857;614373;614696;614808;615515;615426;606070;617839;616208;617839;105550;615911;616437;616439,G12.2,8B60.0,NA,Lou Gehrig disease,hsa05014  Amyotrophic lateral sclerosis,SOD1;NEFH;PRPH;DCTN1;ALS2;SETX;SPG11;FUS;VAPB;ANG;TARDBP;FIG4;OPTN;VCP;UBQLN2;SIGMAR1;CHMP2B;PFN1;ERBB4;HNRNPA1;MATR3;TUBA4A;ANXA11;C9ORF72;CHCHD10;SQSTM1;TBK1;MAPT;GLE1;TRPM7,6647;4744;5630;1639;57679;23064;80208;2521;9217;283;23435;9896;10133;7415;29978;10280;25978;5216;2066;3178;9782;7277;311;203228;400916;8878;29110;4137;2733;54822,Riluzole;Edaravone,D00775;D01552
H00059,Huntington disease,D006816,143100,G10,8A01.10,NA,NA,hsa05016  Huntington disease,HTT,3064,Tetrabenazine;Deutetrabenazine,D08575;D10701
H00060,Dentatorubropallidoluysian atrophy (DRPLA),NA,125370,G11.2,8A01.12,NA,NA,NA,ATN1,1822,NA,NA
H00061,Prion disease,D017096,123400;137440;600072;606688,A81.0,8E00;8E01;8E02;8E03;8E0Y,NA,Creutzfeldt-Jacob disease (CJD);Gerstmann-Straussler disease (GSD);Gerstmann-Straussler-Scheinker disease (GSSD);Fatal familial insomnia (FFI),hsa05020  Prion disease,PRNP,5621,NA,NA
H00062,Spinal and bulbar muscular atrophy (SBMA),D020966,313200,G12.1,8B61.4,NA,Kennedy disease,NA,AR,367,NA,NA
