	Name	ICD10	Count	ICD_class	Disease_english
KMN712	11beta-hydroxylase_deficiency	NO_DATA	1	I10-I15	11beta-hydroxylase deficiency
KMN711	11beta-hydroxysteroid_dehydrogenase_deficiency	NO_DATA	2	I10-I15	11beta-hydroxysteroid dehydrogenase deficiency
KMN308	17_alpha-Hydroxylase_Deficiency	NO_DATA	5	E20-E35	17 alpha-Hydroxylase Deficiency
KMN309	21-Hydroxylase_Deficiency	NO_DATA	2	E20-E35	21-Hydroxylase Deficiency
KMN375	3-Hydroxy-3-methylglutaric_Aciduria	NO_DATA	3	E70-E90	3-Hydroxy-3-methylglutaric Aciduria
KMN376	3-Methylcrotonyl_Glycinuria	NO_DATA	3	E70-E90	3-Methylcrotonyl Glycinuria
KMN377	3-Methylglutaconic_Aciduria_Type_I	NO_DATA	2	E70-E90	3-Methylglutaconic Aciduria Type I
KMN374	3-Oxothiolase_Deficiency	NO_DATA	3	E70-E90	3-Oxothiolase Deficiency
KMN310	3_beta-Hydroxysteroid_Dehydrogenase_Type_II_Deficiency	NO_DATA	1	E20-E35	3 beta-Hydroxysteroid Dehydrogenase Type II Deficiency
KMN378	4-Hydroxybutyric_Aciduria	NO_DATA	2	E70-E90	4-Hydroxybutyric Aciduria
KMN311	ACTH_Deficiency	NO_DATA	1	E20-E35	ACTH Deficiency
KMN444	ALA-Dehydratase-Deficient_Porphyria	NO_DATA	3	E70-E90	ALA-Dehydratase-Deficient Porphyria
KMN573	Abetalipoproteinemia	NO_DATA	12	E70-E90	Abetalipoproteinemia
KMN874	Achondrodysplasia	NO_DATA	1	Q65-Q79	Achondrodysplasia
KMN561	Acrodermatitis_Enteropathica	NO_DATA	1	E70-E90	Acrodermatitis Enteropathica
KMN340	Acromegaly	NO_DATA	9	E20-E35	Acromegaly
KMN518	Activation-Induced_Cytidine_Deaminase_Deficiency	NO_DATA	1	E70-E90	Activation-Induced Cytidine Deaminase Deficiency
KMN580	Acute_Bacterial_Meningitis	NO_DATA	20	G00-G09	Acute Bacterial Meningitis
KMN640	Acute_Inflammatory_Demyelinating_Polyneuropathy	NO_DATA	1	G50-G59	Acute Inflammatory Demyelinating Polyneuropathy
KMN529	Acute_Intermittent_Porphyria	NO_DATA	3	E70-E90	Acute Intermittent Porphyria
KMN104	Acute_Lymphoid_Leukemia	NO_DATA	147	C81-C96	Acute Lymphoid Leukemia
KMN639	Acute_Motor_Axonal_Neuropathy	NO_DATA	4	G50-G59	Acute Motor Axonal Neuropathy
KMN105	Acute_Myeloid_Leukemia	NO_DATA	111	C81-C96	Acute Myeloid Leukemia
KMN773	Acute_Pancreatitis	K85	73	K80-K87	Acute Pancreatitis
KMN737	Acute_Pericarditis	I30	12	I30-I52	Acute Pericarditis
KMN638	Acute_Pharyngeal_Cervicobrachial_Neuropathy	NO_DATA	1	G50-G59	Acute Pharyngeal Cervicobrachial Neuropathy
KMN754	Acute_Respiratory_Distress_Syndrome	J80	180	J80-J84	Acute Respiratory Distress Syndrome
KMN7	Acute_Viral_Meningitis	NO_DATA	19	A80-A89	Acute Viral Meningitis
KMN722	Acute_coronary_syndrome	NO_DATA	95	I20-I25	Acute coronary syndrome
KMN312	Addison_s_Disease	NO_DATA	12	E20-E35	Addison's Disease
KMN389	Adenine_Phosphoribosyltransferase_Deficiency	NO_DATA	1	E70-E90	Adenine Phosphoribosyltransferase Deficiency
KMN168	Adenoid-cystic_carcinoma	NO_DATA	1	D37-D48	Adenoid-cystic carcinoma
KMN258	Adenosine_Deaminase_Deficiency	NO_DATA	2	D80-D89	Adenosine Deaminase Deficiency
KMN388	Adenylosuccinate_Lyase_Deficiency	NO_DATA	1	E70-E90	Adenylosuccinate Lyase Deficiency
KMN77	Adrenal_Carcinoma	NO_DATA	4	C73-C75	Adrenal Carcinoma
