KMN_ID	Name	ICD10	Count
KMN712	11beta-hydroxylase_deficiency	NO_DATA	1
KMN711	11beta-hydroxysteroid_dehydrogenase_deficiency	NO_DATA	2
KMN308	17_alpha-Hydroxylase_Deficiency	NO_DATA	5
KMN309	21-Hydroxylase_Deficiency	NO_DATA	2
KMN375	3-Hydroxy-3-methylglutaric_Aciduria	NO_DATA	3
KMN376	3-Methylcrotonyl_Glycinuria	NO_DATA	3
KMN377	3-Methylglutaconic_Aciduria_Type_I	NO_DATA	2
KMN374	3-Oxothiolase_Deficiency	NO_DATA	3
KMN310	3_beta-Hydroxysteroid_Dehydrogenase_Type_II_Deficiency	NO_DATA	1
KMN378	4-Hydroxybutyric_Aciduria	NO_DATA	2
KMN311	ACTH_Deficiency	NO_DATA	1
KMN444	ALA-Dehydratase-Deficient_Porphyria	NO_DATA	3
KMN573	Abetalipoproteinemia	NO_DATA	12
KMN874	Achondrodysplasia	NO_DATA	1
KMN561	Acrodermatitis_Enteropathica	NO_DATA	1
KMN340	Acromegaly	NO_DATA	9
KMN518	Activation-Induced_Cytidine_Deaminase_Deficiency	NO_DATA	1
KMN580	Acute_Bacterial_Meningitis	NO_DATA	20
KMN640	Acute_Inflammatory_Demyelinating_Polyneuropathy	NO_DATA	1
KMN529	Acute_Intermittent_Porphyria	NO_DATA	3
KMN104	Acute_Lymphoid_Leukemia	NO_DATA	147
KMN639	Acute_Motor_Axonal_Neuropathy	NO_DATA	4
KMN105	Acute_Myeloid_Leukemia	NO_DATA	111
KMN773	Acute_Pancreatitis	K85	73
KMN737	Acute_Pericarditis	I30	12
KMN638	Acute_Pharyngeal_Cervicobrachial_Neuropathy	NO_DATA	1
KMN754	Acute_Respiratory_Distress_Syndrome	J80	180
KMN7	Acute_Viral_Meningitis	NO_DATA	19
KMN722	Acute_coronary_syndrome	NO_DATA	95
KMN312	Addison_s_Disease	NO_DATA	12
KMN389	Adenine_Phosphoribosyltransferase_Deficiency	NO_DATA	1
KMN168	Adenoid-cystic_carcinoma	NO_DATA	1
KMN258	Adenosine_Deaminase_Deficiency	NO_DATA	2
KMN388	Adenylosuccinate_Lyase_Deficiency	NO_DATA	1
KMN77	Adrenal_Carcinoma	NO_DATA	4
KMN350	Adrenogenital_Syndrome	NO_DATA	5
KMN338	Adult_GH_Deficiency	NO_DATA	8
KMN789	Adult_Still_s_disease	NO_DATA	4
KMN118	Adult_T_Cell_Lymphoma/Leukemia	NO_DATA	160
KMN779	Afferent_Loop_Syndrome	NO_DATA	1
KMN232	Afibrinogenemia	NO_DATA	3
KMN702	Age-Related_Macular_Degeneration	NO_DATA	31
KMN854	Alagille_Syndrome	NO_DATA	1
