ENTRY	Name	MeSH	OMIM	ICD-10	ICD-11	MedlinePlus	Alias_Name	Pathway	Gene_symbol	UniProtID	Drug_name	kegg_drugID	DrugBank	CAS	ChEBI	UniProt_count	Symbol_count	DrugBank_count	HMDB_ChEBI	HMDB_ChEBI_count	keymolnet_id	KEGG_KMN_count	KEGG_KMN_molecules
H00003	Acute myeloid leukemia	D015470	NO_DATA	C92.0	2A60	NO_DATA	NO_DATA	hsa05221  Acute myeloid leukemia	RUNX1;ITGAM;CHUK;NFKB1;SOS2;RELA;KIT;AKT3;TCF7L2;PIK3R3;SOS1;PIK3CA;MAPK1;PML-RARalpha;AML1;CEBPA;RPS6KB1;ARAF;JUP;MAPK3;LEF1;CCNA2;PIK3R1;PIM2;DUSP6;RUNX1T1;NRAS;MYC;PIK3CD;RARA;GRB2;IKBKB;PER2;FCGR1A;BRAF;c-KIT;CSF1R;MTOR;AKT1;SPI1;CCNA1;K-ras;FLT3;PLZF-RARalpha;MAP2K2;PML;PU.1;N-ras;PIK3CB;PIK3R2;PIM1;CCND1;STAT3;STAT5B;STAT5A;AML1-ETO;CEBPE;BAD;AKT2;PPARD;TCF7L1;HRAS;CD14;ZBTB16;RAF1;MAP2K1;BCL2A1;TCF7;C/EBPalpha;MPO;RPS6KB2;EIF4EBP1;CSF2;IL3;IKBKG;KRAS	A0A024RD25;P04049;P23443;A0A2X0SFG1;P17947;P10398;Q9UBS0;Q15744;Q06455;A0A024R562;Q13541;A0A0S2Z487;O00459;P10721;A8K6I5;P20248;Q6I9R7;P36402;P36888;Q6FI00;P42229;P12314;Q9NQB0;P29590;Q9Y6K9;A0A2K8FKV1;A0A024R178;Q03181;Q9P1W9;P27361;O15111;P42336;P42338;P42345;Q5U091;B3KQ75;Q659G9;Q8N381;O15055;P49715;Q16548;P36507;P28482;P08700;P04141;Q05516;L7RSL8;L7RXH5;A4QPA9;P31751;L7RRS6;P11309;P15056;A0A024RBC1;Q9HCS4;P40763;Q07889;O14920;Q02750;I1SRC5;B0LPF3;P78396;P05164;P11215;Q499G7;A0A024QYW7;P08571;P27986;Q04206;P31749;Q9Y243;A0A024RCW6;P14923;P19838;P07333;P01112;P01116;Q4LE51;Q07890;Q92934;P51692;Q59GY7;P01106;P62993;Q1HBJ4;P10276;P24385;Q16828;X5D945;B0LPE5;Q01196;A0A024R3C6;A0A384N5W4;O00329;P01111;Q92569;Q9UJU2	Cyclophosphamide;Thioguanine;Cytarabine;Doxorubicin hydrochloride;Daunorubicin hydrochloride;Idarubicin hydrochloride;Mitoxantrone hydrochloride;Midostaurin;Gilteritinib fumarate;Gemtuzumab ozogamicin;Glasdegib maleate;Arsenic trioxide;Venetoclax;Enasidenib mesylate;Ivosidenib;Daunorubicin and cytarabine;Sargramostim;Enocitabine	D00287;D06109;D00168;D01275;D01264;D01747;D02166;D05029;D10800;D03259;D11107;D02106;D10679;D11044;D11090;D11390;D05803;D01633	DB00531;DB00352;DB00987;DB00694;DB01177;DB01204;DB00056;DB01169;DB00020	6055-19-2;NA;147-94-4;25316-40-9;23541-50-6;57852-57-0;70476-82-3;120685-11-2;1254053-84-3;220578-59-6;NA;1327-53-3;1257044-40-8;1650550-25-6;1448347-49-6;NA;123774-72-1;55726-47-1	4026;NA;28680;31522;31456;31686;50727;63452;NA;NA;NA;30621;49900;133021;NA;145430;NA;NA;31537	97.0	76.0	9.0	NO_DATA	0.0	KMN105	184.0	P17481;P24158;P10398;A0A2K8FKV1;Q8TD08;I1SRC5;L7RSL8;B0LPF3;P10721;Q8N381;A4QPA9;P11309;P06748;P20719;P08700;Q1HBJ4;Q8WYR1;B0LPE5;P05164;P20248;P04843;Q06455;P13591;P17947;Q9UJU2;O00750;P09016;P35453;P04798;Q16548;P01111;P31271;Q8WXS3;A0A2X0SFG1;Q9NQB0;P01116;Q03181;Q5UE93;Q02750;P31268;P17509;Q15744;Q92569;Q659G9;A0A024QYW7;O00443;P45983;O00459;O14920;P27361;O15264;O43364;P42338;P15559;P53779;O75747;P11215;P05106;X5D945;Q05516;P28482;O43248;P36507;P09629;P09017;P48736;O15111;Q9HCS4;A0A024RCW6;P45984;P31276;A0A384N5W4;P04049;P29590;Q9Y243;P35659;A0A024RBC1;P08571;Q13541;P36402;P04141;P14653;O43365;A0A024R562;Q59GY7;Q9UBS0;Q6I9R7;Q9Y6K9;Q00444;P07333;P31260;P49715;P31314;P14652;P09630;Q13761;P19838;O00329;P12314;L7RRS6;Q01196;Q16539;Q13951;Q15759;Q9GZZ0;P28358;P31269;P01112;P42345;A0A024R178;P04637;P20138;P36888;P08514;P09067;P19544;Q03164;O15055;P31274;P28360;Q5U091;A0A024R3C6;Q13164;P27986;P31267;P49639;P10276;P31275;P15144;Q4LE51;P08183;P24385;P14651;Q07889;Q03112;Q13950;P31273;A0A024RD25;A8K6I5;P23443;P40763;P17482;P28906;Q99570;P55196;Q07890;B3KQ75;P04439;P31277;Q6FI00;Q16828;A0A0S2Z487;P51692;P35548;P31270;P42336;P62993;P35658;P42229;P15056;P17483;P53778;P31751;P01106;P35452;Q92934;P28356;P31749;P31249;P14923;L7RXH5;P42568;Q16659;Q8NEB9;Q9NYD6;Q04206;P13378;P35749;Q92826;Q499G7;Q00056;Q9P1W9;P78396;P31152
H00006	Hairy cell leukemia	D007943	NO_DATA	C91.4	2A82.2	NO_DATA	NO_DATA	NO_DATA	Bcl-6;p53;Cyclin D1	Q6FI00;P04637;P41182;K7PPA8;P24385;Q53GA5	Cladribine;Moxetumomab pasudotox;Pentostatin;Interferon alfa-2b	D01370;D09932;D00155;D02745	DB00242;DB00552;DB00105	4291-63-8;1020748-57-5;53910-25-1;99210-65-8	567361;NA;NA;NA	6.0	3.0	3.0	NO_DATA	0.0	KMN131	116.0	P01033;Q8TD08;CHEBI:16336;Q53GA5;P02461;P01871;P14151;Q13489;P13612;P07996;P11912;P60709;P01568;P45985;P38570;P32881;P34810;Q9ULX9;O60861;P21926;Q00653;Q02750;Q8NHW3;P15407;P13686;P01877;P52564;P27361;P15408;P05106;O43491;P19438;P28482;P36507;P46527;Q99727;P04004;P25445;P05013;P53539;P01567;Q9Y5Q3;P32248;P05014;Q9H3G5;P01591;Q8WYK2;O15525;P01562;P01563;P01375;P07333;P04083;P32302;O60675;P33241;P19838;P20702;O75056;P16070;Q01201;P20333;P11362;P01860;P01566;P01571;P04637;P08962;P36888;Q13163;P18847;P26842;P05556;K7PPA8;Q13164;P10415;Q9NR55;P05015;Q04864;P41182;P17535;P24385;P63000;O14733;P01569;P32942;P06756;P09038;P01137;Q6FI00;P15336;P54845;P61586;P26951;Q13490;O75444;P01100;P19320;P05412;P11836;P08648;P01570;O14788;O95980;P60953;P01589;P02751;P17275;Q16659;Q04206;P46734;P01876;Q16520;Q9GZX7;P01833;P31152
H00007	Hodgkin lymphoma	D006689	NO_DATA	C81	2B30	NO_DATA	NO_DATA	NO_DATA	CD95;c-rel;IKBE;IKBA	O00221;Q04864;Q7LC14;Q96F31;P25963;P25445;A0A024RD24	Cyclophosphamide;Chlorambucil;Carmustine;Lomustine;Dacarbazine;Vinblastine sulfate;Vincristine sulfate;Doxorubicin hydrochloride;Bleomycin sulfate;Procarbazine hydrochloride;Brentuximab vedotin;Nivolumab;Pembrolizumab	D00287;D00266;D00254;D00363;D00288;D01068;D02197;D01275;D02177;D00478;D09587;D10316;D10574	DB00531;DB00291;DB00262;DB01206;DB00851;DB00570;DB00541;DB00290;DB01168	6055-19-2;305-03-3;154-93-8;13010-47-4;4342-03-4;143-67-9;2068-78-2;25316-40-9;9041-93-4;366-70-1;914088-09-8;946414-94-4;1374853-91-4	4026;28830;3423;6520;4305;9984;79401;31522;34582;71428;NA;NA;NA	7.0	4.0	9.0	NO_DATA	0.0	KMN99	53.0	P19838;Q8NI38;P25963;A0A024RD24;Q01201;P00338;P01583;P07195;P15248;O15111;P05113;Q7LC14;P01374;P08700;P25445;O15519;P04637;P18510;Q12933;P11836;Q9NZH7;Q13114;Q14116;P05231;P28908;Q9UBH0;Q13077;Q6Q0C0;Q9NZH6;Q8WWZ1;Q9NZH8;P29965;P20749;Q9UHA7;P01584;CHEBI:59294;P10415;Q06643;Q00653;Q9Y4K3;Q04864;Q96F31;P05112;Q04206;Q9BUZ4;Q15653;Q9Y6K9;P07864;O00463;P01375;Q9BYH8;O00221;O14920
H00008	Burkitt lymphoma	D002051	NO_DATA	C83.7	2A85.6	NO_DATA	NO_DATA	NO_DATA	MYC-IgH;p16/INK4A;p53	P01106;K7PML8;P42771;K7PPA8;P04637;Q53GA5	Cyclophosphamide	D00287	DB00531	6055-19-2	4026	6.0	3.0	1.0	NO_DATA	0.0	KMN97	9.0	P41182;P04637;P01106;K7PPA8;Q53GA5;P01871;Q08999;P42771;K7PML8
H00010	Multiple myeloma	D009101	NO_DATA	C90.0	2A83.1	NO_DATA	NO_DATA	NO_DATA	IgH-FGFR3;K-ras;N-ras;CCND1-IgH;IgH-MMSET;c-MYC;CCND3-IgH;IgH-MAF;p53	Q6FI00;P01116;P01106;I1SRC5;P04637;L7RSL8;P22607;O75444;Q0IJ44;Q5U091;P24385;K7PPA8;P30281;P01111;O96028;Q53GA5	Cyclophosphamide;Melphalan;Melphalan hydrochloride;Carmustine;Doxorubicin hydrochloride;Elotuzumab;Daratumumab;Isatuximab;Belantamab mafodotin;Bortezomib;Carfilzomib;Ixazomib citrate;Panobinostat lactate;Selinexor;Plerixafor;Thalidomide;Lenalidomide;Pomalidomide;Zoledronic acid;Denosumab;Idecabtagene vicleucel;Melphalan flufenamide hydrochloride;Daratumumab and hyaluronidase	D00287;D00369;D08173;D00254;D01275;D09337;D10777;D11050;D11595;D03150;D08880;D10131;D10019;D11222;D08971;D00754;D04687;D08976;D01968;D03684;D11556;D11870;D11967	DB00531;DB01042;DB00262;DB00188;DB01041;DB00480;DB00399	6055-19-2;148-82-3;3223-07-2;154-93-8;25316-40-9;915296-00-3;945721-28-8;1461640-62-9;NA;179324-69-7;868540-17-4;1239908-20-3;NA;1393477-72-9;110078-46-1;50-35-1;191732-72-6;19171-19-8;165800-06-6;615258-40-7;NA;380449-54-7;NA	4026;28876;NA;3423;31522;NA;NA;NA;NA;52717;65347;90939;85991;NA;125354;9513;63791;72690;NA;NA;NA;NA;NA	16.0	9.0	7.0	NO_DATA	0.0	KMN122	246.0	P61604;P38936;P30279;Q8TD08;I1SRC5;P50454;L7RSL8;Q53GA5;Q9UBG3;P01871;Q9NR09;CHEBI:4167;Q96CA5;O00300;Q05655;P02452;P01374;Q13489;P13612;Q15389;P08700;P02100;P12525;P50591;P05129;P69892;P07900;Q9UBY9;P04183;O00292;P13591;Q6B0K9;Q9NQC7;Q9NRA1;Q9UBH0;Q00987;P01111;P12643;P54652;P01116;P34932;O96028;Q96MM6;P02671;Q00653;P32246;Q9UJY1;P04085;P45983;P60484;P01877;P61812;O15264;P27361;O75190;P48723;Q9BQS6;P42773;P53779;P00338;O43301;P28482;P00451;P46527;Q07820;P14625;P25445;P49765;P45984;P02008;P41743;Q0VDF9;Q9Y5Q3;P10600;Q05513;P98170;P04198;Q13114;Q14116;P12524;P05362;P02489;P10809;P49767;Q9NZH6;P01591;P26010;P29965;Q9UHA7;P01584;P11142;P17066;P51681;P0DOX4;Q96P09;Q8N726;P04141;P00734;P48741;Q12931;P0DMV9;Q12988;Q92598;CHEBI:17234;CHEBI:29108;P05107;P01375;P01857;Q02790;P49763;Q04759;P69891;P02042;CHEBI:29101;P68871;O14558;P19838;P15692;Q99988;Q9Y547;P16070;Q16539;Q9Y275;Q15759;Q01201;P01860;P01583;P01859;P01112;P07195;P12259;P22607;P14780;P01854;P25686;P09105;P58294;P04637;Q9NZH7;P31689;P05231;CHEBI:17634;P60568;Q03164;Q8WWZ1;Q86X52;O15392;P30281;P02741;O15394;Q5U091;P05556;P10147;K7PPA8;Q13164;P10415;P01127;P32004;P18827;O95757;O43915;Q06643;P02743;Q04864;Q12778;O94806;Q15139;P08709;P48061;P05771;CHEBI:42758;P20701;P0DMV8;CHEBI:17775;P24385;P12272;P34931;CHEBI:15705;P31152;Q13075;O94907;P08123;P10145;P25942;Q07817;Q13950;O75953;P40763;Q16082;CHEBI:16199;P03956;P32942;CHEBI:27226;CHEBI:16737;P09038;P24723;Q9UDY4;P01137;Q9Y6Q6;Q6FI00;P38646;P02768;P05019;Q13490;O75444;O00142;Q02156;P61769;P18510;P19320;P14210;P17252;P08648;P42771;Q9NZH8;P06400;P53778;P08238;O14788;Q15306;P20809;P69905;P01106;Q92934;P02751;CHEBI:17996;CHEBI:62501;CHEBI:30411;Q16659;Q96HF1;Q04206;Q9BZL6;CHEBI:27470;P01861;P02511;P07864;P01876;P25685;P02679;Q9GZP0;P01833;Q0IJ44;P04792;P08887;P11021;P02675
H00011	Lymphoplasmacytic lymphoma	NO_DATA	NO_DATA	C83.8;C88.0	2A85.4	NO_DATA	NO_DATA	NO_DATA	Pax5-IgH	Q02548	Ibrutinib;Ibritumomab tiuxetan	D10223;D04489	DB00078	936563-96-1;206181-63-7	76612;NA	1.0	1.0	1.0	NO_DATA	0.0	KMN102	4.0	P01591;P01871;P06127;Q02548
H00012	Polycythemia vera	D011087	NO_DATA	D45	2A20.4	NO_DATA	NO_DATA	NO_DATA	JAK2	O60674	Ruxolitinib phosphate;Sodium phosphate P 32	D09960;D05870	NO_DATA	1092939-17-7;7635-46-3	66917;NA	1.0	1.0	0.0	NO_DATA	0.0	KMN165	18.0	P40763;P05019;P09105;P01588;P02100;P16109;P69905;P02008;P69892;Q6B0K9;Q8N6Q3;Q16621;P69891;P02042;O60674;Q07817;P40238;P68871
H00013	Small cell lung cancer	D055752	NO_DATA	C34	2C25.1	NO_DATA	NO_DATA	hsa05222  Small cell lung cancer	GADD45B;CHUK;AKT3;LAMC1;LAMB3;CASP3;PIK3CD;LAMC3;GADD45G;BIRC7;GADD45A;TRAF6;POLK;PIK3R2;RAR-beta;NOS2;CDKN2B;Bcl-2;TRAF3;CCNE1;ITGA6;PIK3R3;BIRC3;BAX;CDKN1A;PIK3CA;COL4A1;PIK3R1;ITGA2;SKP2;LAMA1;ZBTB17;COL4A4;RXRA;RXRG;COL4A5;PTEN;CCND1;LAMB1;CASP9;c-MYC;FHIT;p53;RXRB;DDB2;TRAF2;E2F1;TRAF5;CDK6;BCL2L1;TRAF1;LAMA2;BIRC2;RELA;COL4A2;RARB;ITGA2B;MYC;IKBKB;CDK2;COL4A3;AKT1;ITGAV;PTGS2;BCL2;ITGA3;LAMC2;CDKN1B;PIK3CB;LAMA5;COL4A6;BAK1;XIAP;CYCS;FN1;IKBKG;LAMA3;NFKB1;E2F3;LAMB2;MAX;PTK2;CKS1B;TP53;APAF1;RB1;AKT2;CCNE2;CDK4;CKS2;TRAF4;LAMB4;NFKBIA;LAMA4;ITGB1;E2F2	A0A024QZ59;P08514;Q13753;L7RXH0;P17301;A0A2X0SFG1;P11047;A0A0S2Z391;A0A0A0MQS9;A0A0S2Z3R6;B7ZMJ6;P24941;A0A024R366;A0A024RCX5;P25391;A0A024RDV3;Q6P3U7;O00459;F1D8Q5;P61024;Q13077;Q9Y4K3;P55211;Q9UBT6;Q59H37;Q59GM6;A0A024RB77;Q5T178;P11802;Q96CA5;Q13114;Q6FI00;Q6I9V6;P26006;Q9Y6K9;Q00534;P04637;A0A2K8FKV1;P35228;P29400;F6KD01;A0A024RAP4;P05556;O15230;O95257;P48443;O15111;P42336;Q8TAS6;P42338;P46527;A0A0S2Z3C5;A4D0S4;P99999;Q5STP9;P25963;Q13751;Q8N381;A0A024R2B3;P24043;P55268;Q16611;O00463;P31751;Q49AM6;Q6NVY8;Q13309;P23229;Q658W2;P02751;Q16363;O75293;O14920;Q13490;P08572;Q9Y6N6;P07942;P42772;Q8N2D6;Q16787;P38936;K7PPA8;P27986;Q04206;A0A024RBB6;Q9BUZ4;P31749;P61244;Q9Y243;O96020;P42574;K7PPU3;Q12933;Q6MZM7;Q13489;Q9BSD8;Q13105;P19793;P19838;P98170;O14727;Q01955;Q01094;A7MBN3;Q53GA5;P60484;P10826;Q9UQS6;A0A024R069;Q4LE51;A0A024R8H5;P06756;F1D8Q7;P33552;A0A024R9B0;P01106;Q92466;P06400;Q05397;P53420;P02462;Q8TAX8;A0A140VJM0;P24385;P24864;B4DTV7;Q14031;Q14209;P49789;O00716;Q07812;B0LPE5;A0A024RDW8;Q07817;P35354;P10415;O00329;G4XXL9;Q92569;P24522;P28702	Methotrexate sodium;Etoposide;Etoposide phosphate;Topotecan hydrochloride;Nivolumab;Pembrolizumab;Durvalumab;Atezolizumab;Lurbinectedin;Trilaciclib dihydrochloride	D02115;D00125;D04107;D02168;D10316;D10574;D10808;D10773;D11644;D11987	DB00563;DB00773;DB00773;DB01030	15475-56-6;33419-42-0;117091-64-2;119413-54-6;946414-94-4;1374853-91-4;1428935-60-7;1380723-44-3;497871-47-3;NA	NA;4911;NA;NA;NA;NA;NA;NA;NA;NA	141.0	96.0	4.0	NO_DATA	0.0	KMN25	276.0	P01286;O00716;P38936;A0A2K8FKV1;P07492;P61024;P24864;O75800;P11047;P11230;P08253;P43681;Q5T178;Q99720;Q01094;L7RXH0;Q53GA5;F6KD01;P10721;Q8N381;Q96CA5;Q14031;Q9BYH1;P45452;Q99973;Q13489;P12525;B0LPE5;Q13105;P08572;O00292;P13591;P32247;Q9ULZ9;Q16787;P28336;P02462;P36544;P05060;Q6I9V6;P25391;P01042;P06731;Q9H239;A0A024R2B3;A0A0S2Z391;Q07001;A0A2X0SFG1;Q86US8;Q15796;P41143;Q9ULX9;P00533;Q9BSD8;P09211;A0A024R366;P28702;Q49AM6;P23229;Q8NHW3;P15407;O75293;Q16363;Q92569;P60484;P61812;O00459;O14920;P24043;Q04844;Q9NS23;P42338;P33552;O00555;O95257;P01350;P24522;P15408;P55211;B4DTV7;P16455;A0A0A0MQS9;Q13309;P32297;Q93015;Q9H306;P10826;Q05397;O14746;Q8WTW4;P46527;P24347;Q15822;Q00534;O15111;Q14209;Q9NRE1;Q9UGM1;Q9UGM3;P26378;P53539;F1D8Q7;P49354;Q9Y5Q3;P04049;P10600;P98170;P04198;Q13114;P49789;P17301;P08247;P12524;A4D0S4;P26006;P35372;P49356;Q15825;O14727;Q9Y243;B7ZMJ6;P11802;Q8WYK2;P01258;A0A024R069;Q9UBT6;Q8N726;Q99542;A0A024R8H5;Q13753;A0A024R9B0;Q6P3U7;P35222;Q9Y5R2;O15525;Q9Y4K3;Q9NZT2;P01189;P51512;Q9Y6K9;O00463;P41145;O60675;P24941;P30926;A0A0S2Z3R6;P12036;P01160;P19793;P19838;P35228;O00329;P35243;Q99988;Q9BY67;P48443;P25963;P08949;Q8TAS6;A0A024RBB6;P06850;Q01955;P25054;O96020;P53355;P42345;Q13214;P50281;P14780;G4XXL9;Q5STP9;P22894;P04637;Q12926;Q12933;P08514;F1D8Q5;Q9UQS6;P07510;P21583;A0A0S2Z3C5;O15230;P30550;A7MBN3;Q9NZR2;Q13077;P18847;A0A024RB77;Q6NVY8;Q16611;P05556;K7PPA8;O75896;P10415;P08254;P27986;P51511;P17787;Q9NR55;P35354;P17535;Q4LE51;Q9NPA2;P42772;P24385;P42574;Q59GM6;Q8N119;Q07817;Q9GZZ6;Q658W2;P53420;P99999;P03956;P09237;P09238;Q6MZM7;P07196;Q59H37;P29400;P06756;P01185;O75900;Q15717;P01137;P10645;A0A024RDW8;Q6FI00;P15336;P54845;Q8N2D6;A0A024RCX5;P50553;Q13490;P07942;P42336;O75444;P05019;Q07812;P01100;P07197;O60882;P05412;P41146;A0A024QZ59;A0A024RAP4;P39900;P02708;P42771;P06400;P31751;P30990;Q8TAX8;K7PPU3;Q05901;P01106;A0A140VJM0;P55268;P02751;P31749;P04626;P17275;Q13485;P12830;Q04206;Q9BUZ4;P13521;P02787;Q92466;P30532;Q9Y6N6;Q14576;Q16520;A0A024RDV3;P61244;Q13751
H00014	Non-small cell lung cancer	D002289	NO_DATA	C34	2C25.0;2C25.2;2C25.3	NO_DATA	NO_DATA	hsa05223  Non-small cell lung cancer	PLCG2;GADD45B;PRKCG;AKT3;PIK3CD;RET;GADD45G;GADD45A;KIF5C;POLK;PIK3R2;RAR-beta;PIK3R3;BAX;CDKN1A;PIK3CA;ERBB2;PIK3R1;CD74-ROS1,SLC34A2-ROS1;K-ras;MAP2K2;RXRA;RXRG;PRKCB;CCND1;STAT5A;CASP9;FHIT;EGFR;p53;HRAS;RXRB;DDB2;E2F1;PDPK1;CDK6;RASSF5;KIF5B;KRAS;HGF;RARB;SOS1;ALK;EML4-ALK;ARAF;TGFA;STK4;BRAF;AKT1;KIF5B-RET;EML4;PIK3CB;MET;BAD;FOXO3;BAK1;SOS2;MAPK1;RASSF1;E2F3;MAPK3;NRAS;GRB2;PRKCA;PLCG1;KIF5A;TP53;p16/INK4A;RB1;STAT3;STAT5B;EGF;AKT2;CDK4;RAF1;MAP2K1;CDKN2A;E2F2;JAK3	L7RSM7;P04049;A0A2X0SFG1;Q4LE43;P10398;A0A0S2Z391;Q9HC35;A0A024R562;A0A024R366;P08581;A0A024RCX5;V9HW29;P42771;O15530;P52333;A0A024RDV3;Q6P3U7;O00459;A8K6I5;F1D8Q5;Q9UBT6;P55211;P17252;P11802;Q6FI00;P42229;P14210;Q00534;P04637;A0A2K8FKV1;Q13043;P33176;A0A024R7T2;A0A024R178;A0A024RAP4;Q7Z727;P27361;Q12840;O95257;P48443;P42336;P42338;P04626;Q5U091;Q6P164;O43524;Q5STP9;Q8N381;P36507;P28482;Q16611;P08922;L7RXH5;L7RSL8;P16885;A4QPA9;P31751;L7RRS6;P05129;O60282;P15056;K7PML8;P01133;P40763;Q07889;O75293;Q9UM73;Q02750;I1SRC5;B0LPF3;P05771;P07949;A0A024R7M7;Q504U8;A8K5F3;B6D4Y2;P38936;Q499G7;K7PPA8;Q9NS23;P27986;A0A024RBB6;P31749;Q9Y243;P19174;X5DNK3;Q9BSD8;P19793;Q01094;P01112;Q8WWW0;Q53GA5;P01135;P10826;P01116;Q4LE51;Q07890;A0A024R759;Q92934;P51692;P00533;F1D8Q7;Q59GY7;Q92466;P06400;P62993;Q1HBJ4;P24385;Q59GB8;Q14209;P49789;O00716;Q07812;B0LPE5;F2YGG7;X5D945;A0A384N5W4;O00329;P01111;Q92569;P24522;P28702	Methotrexate sodium;Pemetrexed sodium hydrate;Gemcitabine hydrochloride;Vinorelbine tartrate;Paclitaxel;Docetaxel;Docetaxel;Gefitinib;Erlotinib hydrochloride;Afatinib dimaleate;Osimertinib mesylate;Dacomitinib;Dabrafenib mesylate;Crizotinib;Ceritinib;Alectinib hydrochloride;Brigatinib;Lorlatinib;Trametinib dimethyl sulfoxide;Entrectinib;Capmatinib hydrochloride;Tepotinib hydrochloride;Bevacizumab;Nivolumab;Pembrolizumab;Ramucirumab;Necitumumab;Durvalumab;Atezolizumab;Cemiplimab;Pralsetinib;Selpercatinib	D02115;D06503;D01155;D01935;D00491;D07866;D02165;D01977;D04023;D09733;D10766;D10514;D10104;D09731;D10551;D10450;D10866;D11012;D10176;D10926;D10891;D11073;D06409;D10316;D10574;D09371;D10018;D10808;D10773;D11108;D11712;D11713	DB00563;DB00642;DB00441;DB00361;DB01229;DB01248;DB01248;DB00317;DB00530;DB00112	15475-56-6;NA;122111-03-9;125317-39-7;33069-62-4;114977-28-5;148408-66-6;184475-35-2;183319-69-9;NA;1421373-66-1;1042385-75-0;1195768-06-9;877399-52-5;1032900-25-6;NA;1197953-54-0;1454846-35-5;1187431-43-1;1108743-60-7;1865733-40-9;NA;216974-75-3;946414-94-4;1374853-91-4;947687-13-0;NA;1428935-60-7;1380723-44-3;1801342-60-8;2097132-94-8;2152628-33-4	NA;63723;31647;32296;45863;4672;59809;49668;53509;76003;90948;NA;75048;64310;NA;62268;NA;143117;75991;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA	122.0	79.0	10.0	NO_DATA	0.0	KMN30	219.0	O00716;P10398;P38936;A0A2K8FKV1;P07492;P43681;I1SRC5;P11230;Q7Z727;Q9H195;Q99720;L7RSL8;Q01094;Q53GA5;P01344;L7RSM7;B0LPF3;Q8IWL1;P10721;Q8N381;A4QPA9;K7PML8;Q9BYH1;Q99973;MIMAT0000100;Q1HBJ4;P05129;B0LPE5;P33176;O00292;F2YGG7;P36544;MIMAT0000086;Q12889;Q59GB8;P06731;O60282;A0A0S2Z391;P01111;A0A024R759;Q07001;A0A2X0SFG1;P01116;Q86US8;Q15796;MIMAT0000681;Q12840;P41143;P00533;Q9BSD8;P09211;A0A024R366;P28702;Q02750;P01270;P08922;V9HW29;O75293;P19174;Q92569;Q6P164;Q9UBC3;P60484;P61812;P11686;O00459;P27361;Q9UM73;Q9NS23;P42338;Q04844;O95257;Q02505;Q02817;Q504U8;P24522;P55211;P16455;P32297;P10826;X5D945;P28482;MIMAT0004676;O14746;P36507;P46527;Q15822;Q00534;Q14209;Q5SSG8;Q9H3R2;Q9UGM1;Q9UGM3;F1D8Q7;A0A384N5W4;P04049;P10600;A0A024R7M7;P04198;P49789;P35372;P12524;Q15825;Q13043;Q9UKN1;Q9Y243;A8K5F3;P11802;Q9UBT6;Q8N726;Q6P3U7;Q8WWW0;Q9NZT2;MIMAT0000686;A0A024R562;Q59GY7;Q9HC35;P07988;P41145;P30926;P19793;X5DNK3;O00329;P15692;Q99988;Q9BY67;P48443;L7RRS6;P08949;Q8IWL2;Q7Z5P9;A0A024RBB6;P53355;P25054;P01112;Q4LE43;A0A024R178;Q5STP9;B6D4Y2;P04637;Q04900;P07510;F1D8Q5;O95685;Q9NZR2;Q02297;P55290;Q685J3;Q16611;Q5U091;K7PPA8;P10415;P27986;P17787;P01135;P05771;P07949;Q4LE51;Q8TAX7;P16885;P24385;P42772;Q07889;Q99102;A8K6I5;Q9GZZ6;P40763;MIMAT0004677;Q07890;P01137;P01133;Q6FI00;P51692;A0A024RCX5;P05019;P42336;Q8N307;P62993;Q07812;P42229;P61769;P15056;P17252;P14210;O15530;A0A024R7T2;P41146;Q8WXI7;O43524;P35247;Q9HC84;A0A024RAP4;P15941;P08581;P02708;P42771;P06400;P31751;Q6W4X9;E2RYF6;Q05901;P98088;P01106;Q92934;P04626;P31749;Q13485;L7RXH5;Q9Y6K1;P52333;P12830;Q9ULC0;Q92466;P30532;Q499G7;MIMAT0000255;A0A024RDV3;Q8N387;P35222
H00017	Esophageal cancer	D004938	NO_DATA	C15	2B70	NO_DATA	NO_DATA	NO_DATA	APC;iNOS;p16/INK4A;RB1;FAS;Cyclin D1;COX2;EGFR;p53	Q504U8;P24385;Q6FI00;P04637;F2YGG7;P06400;K7PML8;Q4LE70;P42771;P25445;P35354;K7PPA8;P00533;P35228;Q53GA5;P25054;A0A024RDV3	Floxuridine;Pembrolizumab;Porfimer sodium	D04197;D10574;D03327	DB00322;DB00707	50-91-9;1374853-91-4;87806-31-3	60761;NA;NA	17.0	9.0	2.0	NO_DATA	0.0	KMN19	31.0	P35228;P15559;Q504U8;P16455;P41159;P20333;Q53GA5;P25054;Q6FI00;K7PML8;Q4LE70;P00326;P25445;P04637;P12525;P04198;P49789;P12524;P05231;P42771;F2YGG7;P06400;P02741;P01106;K7PPA8;Q8N726;P00533;P35354;P01375;P24385;A0A024RDV3
